ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,11,15.01.1996,A,"Strafgesetzbuch, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/11,ANTR,SELBST,"[""L""]","[""Inneres und Recht""]","[""STRAFRECHT""]","[""Strafrecht""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/11/fname_124351.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/11/fnameorig_124351.html', 'type': 'HTML'}]"
A,25,30.01.1996,A,"Behinderteneinstellungsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/25,ANTR,SELBST,"[""G""]","[""Soziales""]","[""MENSCHEN MIT BEHINDERUNG""]","[""Behinderter""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/25/fname_124357.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/25/fnameorig_124357.html', 'type': 'HTML'}]"
A,39,31.01.1996,A(E),Tierschutzförderungsgesetz,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/39,ANTR,SELBST,"[""G""]","[""Klima, Umwelt und Energie"",""Land- und Forstwirtschaft""]","[""VETERINÄRWESEN UND TIERSCHUTZ""]","[""Tiermedizin"",""Tierschutz""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/39/fname_124374.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/39/fnameorig_124374.html', 'type': 'HTML'}]"
A,40,31.01.1996,A(E),tierversuchsfreien Forschungsstätte an der Karl-Franzens-Universität Graz,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/40,ANTR,SELBST,"[""G""]","[""Innovation, Technologie und Forschung""]","[""WISSENSCHAFT UND FORSCHUNG""]","[""Forschung und geistiges Eigentum"",""Wissenschaften""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/40/fname_124373.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/40/fnameorig_124373.html', 'type': 'HTML'}]"
A,45,31.01.1996,A(E),Indirekte Förderung von Risikokapital,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/45,ANTR,SELBST,"[""F""]","[""Budget und Finanzen""]","[""STEUERN UND GEBÜHREN""]","[""Steuerwesen""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/45/fname_124379.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/45/fnameorig_124379.html', 'type': 'HTML'}]"
A,51,31.01.1996,A(E),Förderung der Beschäftigung älterer Menschen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/51,ANTR,SELBST,"[""F""]","[""Arbeit""]","[""ARBEITSMARKT""]","[""Beschäftigung und Arbeitsbedingungen""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/51/fname_124383.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/51/fnameorig_124383.html', 'type': 'HTML'}]"
A,53,31.01.1996,A(E),Förderungsmaßnahmen für Saisonbetriebe,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/53,ANTR,SELBST,"[""F""]","[""Soziales""]","[""SOZIALVERSICHERUNG V""]","[""Arbeitslosenversicherung""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/53/fname_124392.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/53/fnameorig_124392.html', 'type': 'HTML'}]"
A,60,31.01.1996,A(E),Verbesserung des Gesundheitsberichtswesens,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/60,ANTR,SELBST,"[""G""]","[""Gesundheit und Ernährung""]","[""GESUNDHEIT""]","[""Gesundheit""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/60/fname_124397.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/60/fnameorig_124397.html', 'type': 'HTML'}]"
A,78,31.01.1996,A(E),Reduktion der Maklerprovisionen auf das in der EU übliche Niveau (zurückgezogen),A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/78,ANTR,SELBST,"[""F""]","[""Inneres und Recht""]","[""GESCHÄFTSORDNUNG DES NATIONALRATES"",""ZIVILRECHT"",""GO-NR SONSTIGE GESCHÄFTSORDNUNGSANGELEGENHEITEN""]","[""Bürgerliches Recht""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/78/fname_124411.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/78/fnameorig_124411.html', 'type': 'HTML'}]"
A,89,31.01.1996,A,"Wirtschaftstreuhänder-Berufsordnung, Änderung (Wirtschaftstreuhänder-Berufsordnungs-Novelle 1982)",A,Selbständiger Antrag,/gegenstand/XX/A/89,ANTR,SELBST,"[""F""]","[""Wirtschaft""]","[""WIRTSCHAFTSTREUHÄNDER:IN""]","[""Buchprüfung""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/89/fname_124421.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/89/fnameorig_124421.html', 'type': 'HTML'}]"
