Datum	A	F	G	N	S	T	V
2013-10-29		Familienleistungsausgleich|Gesetzgebungsverfahren|Gesetzgebungsverfahren|Verfassung|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|Verfassung	Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Abfall|Abfallwirtschaft|Gesetzgebungsverfahren|Verfassung|Verfassung|Gesetzgebungsverfahren|Kulturpolitik|Kunst|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht|Arbeitsrecht|Gesetzgebungsverfahren|Verfassung|Einkommen|Verwaltung und Entlohnung des Personals|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|öffentliche Verwaltung|öffentlicher Dienst|Finanzwesen|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|soziale Sicherheit|Familienleistungsausgleich|Hochschulausbildung|Energie|Gesetzgebungsverfahren|Gesetzgebungsverfahren|Straßenverkehr|Gesetzgebungsverfahren|Verfassung|Arbeitslosenversicherung|Gesetzgebungsverfahren|Steuerwesen|Umwelt|Gesetzgebungsverfahren|Staatsangehöriger	Gesetzgebungsverfahren|Politische Partei|Verfassung|Gesetzgebungsverfahren|Verfassung		Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Verfassung|Steuerwesen|Verwaltungsreform|direkt gewählte Kammer|Verfassung	
2013-11-20		Umwelt|Straßenverkehr|direkt gewählte Kammer|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|direkt gewählte Kammer|Finanzwesen|Währungsbeziehungen|Gesundheit|junger Mensch|Familie|Familienleistungsausgleich|Steuerwesen|Exekutive|Misstrauensantrag	Land- und Forstwirtschaft, Fischerei|Wohnungspolitik|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|Politische Partei|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|Gesetzgebungsverfahren|Land- und Forstwirtschaft, Fischerei|Bürgerliches Recht|Post- und Fernmeldewesen|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Öffentliche Finanzen und Haushaltspolitik|Fernsehen|Hörfunk|Familienleistungsausgleich	Gesetzgebungsverfahren|soziale Sicherheit|Gesetzgebungsverfahren|Verfassung|Gesetzgebungsverfahren|Politische Partei|soziale Sicherheit|soziale Sicherheit|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren	direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst	Öffentliche Finanzen und Haushaltspolitik|Beschäftigung und Arbeitsbedingungen|Strafrecht|Steuerwesen|Verfassung|Straßenverkehr|Beschäftigung und Arbeitsbedingungen|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Öffentliche Finanzen und Haushaltspolitik|Öffentliche Finanzen und Haushaltspolitik|Gliedstaat|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Steuerwesen|Verfassung	direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst
2013-12-03		Steuerwesen|Steuerwesen|Steuerwesen|Familienleistungsausgleich|soziale Sicherheit|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Gesetzgebungsverfahren|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|Sozialpolitik|Steuerwesen|namentliche Abstimmung|Öffentliche Finanzen und Haushaltspolitik|öffentliche Sicherheit|Beschäftigung und Arbeitsbedingungen|Europäische Union|Luftverkehr	Exekutive|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Luftverkehr	Bürgerliches Recht|Gliedstaat|Strafrecht|Verwaltungsorganisation|Politische Partei|Wahl|Luftverkehr|Politische Partei	Luftverkehr	Öffentliche Finanzen und Haushaltspolitik|Haushaltskontrolle|Gliedstaat|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Öffentliche Finanzen und Haushaltspolitik|Luftverkehr	Luftverkehr
2013-12-12					Bildung|Organisation des Unterrichtswesens|Gewerbeaufsicht|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens|Verwaltungsorganisation|Bildung|Organisation des Unterrichtswesens		Bildung|Organisation des Unterrichtswesens|Gewerbeaufsicht|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens|Verwaltungsorganisation|Bildung|Organisation des Unterrichtswesens
2013-12-17		Gesundheit|Hochschulausbildung|soziale Sicherheit|Arbeitsrecht|Gesundheit|namentliche Abstimmung|ethnische Gruppe|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Bauindustrie und öffentliches Bauwesen|Baupolitik|Exekutive|Forschung und geistiges Eigentum|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Öffentliche Finanzen und Haushaltspolitik|Verwaltungsorganisation|Wissenschaften|Bildung|Organisation des Unterrichtswesens	Gesundheit|junger Mensch|Menschenrechte|Land- und Forstwirtschaft, Fischerei|Bauindustrie und öffentliches Bauwesen|Baupolitik|Kulturpolitik|Kunst|Bürgerliches Recht|Menschenrechte|Handel|Industrie|Kulturpolitik|Kunst|Unternehmen und Wettbewerb|Behinderter|Agrarerzeugnisse und Lebensmittel|Tiermedizin|Tierschutz|Flüchtling|Verwaltungskontrolle|Opferhilfe|Politik der Zusammenarbeit|junger Mensch|Opferhilfe|Europäische Union|Land- und Forstwirtschaft, Fischerei|Bauindustrie und öffentliches Bauwesen|Baupolitik|Kulturpolitik|Kunst|Arbeitsrecht|Gesundheit|Bibliothek|Steuerwesen|Handel|Industrie|Kulturpolitik|Kunst|Steuerwesen|Unternehmen und Wettbewerb|Gesetzgebungsverfahren|Straßenverkehr|namentliche Abstimmung|Strafrecht|Verwaltungsorganisation|Exekutive|Forschung und geistiges Eigentum|namentliche Abstimmung|Verwaltungsorganisation|Wissenschaften|Bildung|Organisation des Unterrichtswesens	Bildung|Gesetzgebungsverfahren|Organisation des Unterrichtswesens|Exekutive|Forschung und geistiges Eigentum|Verwaltungsorganisation|Wissenschaften|Politische Partei|Exekutive|Bildung|Organisation des Unterrichtswesens	Haushaltsplan|öffentliche Verwaltung|öffentlicher Dienst|Umwelt|Straßenverkehr|Exekutive|Wahl|Tabak|Exekutive	Bildung|Organisation des Unterrichtswesens|Politische Partei|Handel|Industrie|Unternehmen und Wettbewerb|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Verfassung|Bildung|Organisation des Unterrichtswesens	Haushaltsplan|öffentliche Verwaltung|öffentlicher Dienst|Umwelt|Straßenverkehr|Exekutive|Wahl|Tabak|Exekutive
2014-01-29		soziale Sicherheit|Sozialpolitik|Öffentliche Finanzen und Haushaltspolitik|Einkommen|Verwaltung und Entlohnung des Personals|ethnische Gruppe|Verfassung|Familie|Steuerwesen|Familie|Informatik|Information und Informationsverarbeitung|Verkehr|Bildung|Organisation des Unterrichtswesens|Politische Partei|Straßenverkehr|Verkehr|Hochschulausbildung|Europäische Union|Land- und Forstwirtschaft, Fischerei|Umwelt|Europäische Union|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Beschäftigung und Arbeitsbedingungen|Ausbildungsbeihilfe|Schienentransport|Familienleistungsausgleich|Einkommen|Kulturpolitik|Kunst|Verwaltung und Entlohnung des Personals|Straßenverkehr|Hochschulausbildung|Hochschulausbildung|Land- und Forstwirtschaft, Fischerei|Gliedstaat|partizipative Demokratie|Verfassung|Energie|Elektrizitätsindustrie|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Steuerwesen|Land- und Forstwirtschaft, Fischerei|öffentliche Verwaltung|öffentlicher Dienst|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst|Sozialpolitik|Land- und Forstwirtschaft, Fischerei|Beschäftigung und Arbeitsbedingungen|Bildung|Exekutive|Organisation des Unterrichtswesens|Verwaltungsorganisation|namentliche Abstimmung|Öffentliche Finanzen und Haushaltspolitik|öffentliche Sicherheit|Einkommen|öffentliche Verwaltung|öffentlicher Dienst|Verwaltung und Entlohnung des Personals|Darstellende Künste|Einkommen|Verwaltung und Entlohnung des Personals|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Hochschulausbildung|Hochschulausbildung	Bildung|Organisation des Unterrichtswesens|Finanzwesen|Bürgerliches Recht|Agrarerzeugnisse und Lebensmittel|Informatik|Information und Informationsverarbeitung|Gesundheit|soziale Sicherheit|Bergbau|Bildung|Organisation des Unterrichtswesens|Bürgerliches Recht|Einkommen|Gesetzgebungsverfahren|Verwaltung und Entlohnung des Personals|Europäische Union|Land- und Forstwirtschaft, Fischerei|Menschenrechte|Behinderter|Wohnungspolitik|Politik der Zusammenarbeit|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst|Bauindustrie und öffentliches Bauwesen|Baupolitik|Umwelt|Familie|Primarstufe|Familie|Familie|Gesetzgebungsverfahren|junger Mensch|Umwelt|Völkerrecht|Familienleistungsausgleich|Bildung|Organisation des Unterrichtswesens|Behinderter|Internationale Beziehungen|Finanzwesen|Steuerwesen|namentliche Abstimmung|Primarstufe|Öffentliche Finanzen und Haushaltspolitik|Politik der Zusammenarbeit|Fernsehen|Filmindustrie|Hörfunk	Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Internationale Beziehungen|Gesetzgebungsverfahren|Politische Partei|Bürgerliches Recht|Informatik|Information und Informationsverarbeitung|junger Mensch|Vereinte Nationen|Verfassung|Völkerrecht|Exekutive|Beschäftigung und Arbeitsbedingungen|Familie|öffentliche Sicherheit|Gesetzgebungsverfahren|Steuerwesen|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|junger Mensch|Vereinte Nationen|Verfassung|Völkerrecht|Bildung|Organisation des Unterrichtswesens|Politische Partei|Steuerwesen|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Hochschulausbildung|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Gesetzgebungsverfahren|Gesetzgebungsverfahren|Steuerwesen|Bürgerliches Recht|Sozialpolitik|Bürgerliches Recht|Gliedstaat|Steuerwesen|Bürgerliches Recht|Bauindustrie und öffentliches Bauwesen|Baupolitik|Politische Partei|Steuerwesen|Exekutive|Exekutive|Hochschulausbildung|Verwaltungsorganisation|namentliche Abstimmung|Steuerwesen	Politik der Zusammenarbeit|Fernsehen|Hörfunk|Internationale Beziehungen	Agrarerzeugnisse und Lebensmittel|soziale Sicherheit|soziale Sicherheit|Gesundheit|soziale Sicherheit|Exekutive|Forschung und geistiges Eigentum|Wissenschaften|Gesundheit|Verwaltungsorganisation|Gesundheit|soziale Sicherheit|Straßenverkehr|Straßenverkehr|Steuerwesen|Finanzwesen|Umwelt|Bergbau|Bürgerliches Recht|Steuerwesen|Wirtschaft|Straßenverkehr|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Internationale Beziehungen|Steuerwesen|Verfassung|Familie|Familie|junger Mensch|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Verfassung|Bürgerliches Recht|Steuerwesen|Exekutive|Forschung und geistiges Eigentum|Verwaltungsorganisation|Wissenschaften|Finanzwesen|Steuerwesen	Politik der Zusammenarbeit|Fernsehen|Hörfunk|Internationale Beziehungen
2014-02-17		Beschäftigung und Arbeitsbedingungen|Sekundarstufe|Beschäftigung und Arbeitsbedingungen|Straßenverkehr|Strafrecht|Straßen- und Brückenbau|Gesundheit|Straßenverkehr|Preis|Finanzwesen	Handel|Industrie|Unternehmen und Wettbewerb	Bürgerliches Recht|Gliedstaat|Bürgerliches Recht|Gliedstaat|Verfassung|Finanzwesen|Finanzwesen|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik		Steuerwesen|Finanzwesen|Bürgerliches Recht|direkt gewählte Kammer	
2014-02-24		Einkommen|Frau|Gleichbehandlung|Verwaltung und Entlohnung des Personals|Frau|Gleichbehandlung|Agrarerzeugnisse und Lebensmittel|Energie|Preis|Bergbau|Elektrizitäts- und Kernkraftindustrie|soziale Sicherheit|Tabak|Einkommen|Haushaltskontrolle|Verwaltung und Entlohnung des Personals|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Energie|Frau|Gleichbehandlung|Einkommen|Frau|Gleichbehandlung|Statistik|Verwaltung und Entlohnung des Personals|Haushaltskontrolle|Presse|Verteidigung|Einkommen|Haushaltskontrolle|Öffentlicher Sektor|Verwaltung und Entlohnung des Personals|Haushaltskontrolle|Presse	ausländischer Staatsangehöriger|Staatsangehöriger|Darstellende Künste|direkt gewählte Kammer|Frau|Gleichbehandlung|Menschenrechte|ethnische Gruppe|Gesetzgebungsverfahren|Staatsangehöriger|Behinderter|öffentliche Verwaltung|öffentlicher Dienst|Staatsangehöriger|Behinderter|partizipative Demokratie|Verfassung|Gesetzgebungsverfahren|soziale Sicherheit|Straßenverkehr|Internationale Beziehungen|Menschenrechte|Familie|Strafrecht|Finanzwesen|Steuerwesen|Darstellende Künste|direkt gewählte Kammer|Öffentlicher Sektor	Strafrecht|Bürgerliches Recht|Steuerwesen|Wohnungspolitik|Steuerwesen|Steuerwesen|Steuerwesen|Politische Partei	Verkehr|Beschäftigung und Arbeitsbedingungen	Hochschulausbildung|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Steuerwesen	Verkehr|Beschäftigung und Arbeitsbedingungen
2014-02-25		Sekundarstufe|Familie|Preis|Schienentransport|öffentliche Sicherheit|Gesundheit|Beschäftigung und Arbeitsbedingungen|Behinderter|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Umwelt|Land- und Forstwirtschaft, Fischerei|Europäische Union|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt|Versicherungswesen	Umwelt|Europäische Union|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt	Wohnungspolitik|Beschäftigung und Arbeitsbedingungen|Flüchtling|Umwelt|Bürgerliches Recht|Staatsangehöriger|Fernsehen|Hörfunk|Staatsangehöriger|Öffentlicher Sektor|Bürgerliches Recht|Wohnungspolitik|Finanzwesen|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Bürgerliches Recht|Gliedstaat|Verfassung|Gliedstaat|Haushaltskontrolle|Öffentlicher Sektor|Gliedstaat|Verfassung|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Bürgerliches Recht|Finanzwesen|Gliedstaat|Bürgerliches Recht|Gliedstaat	Verfassung|Umwelt|ethnische Gruppe|junger Mensch|Menschenrechte|Vereinte Nationen|Europäische Union|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt|Versicherungswesen	Agrarerzeugnisse und Lebensmittel|Umwelt|Land- und Forstwirtschaft, Fischerei|Verwaltungsrecht|Europäische Union|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt|Versicherungswesen	Verfassung|Umwelt|ethnische Gruppe|junger Mensch|Menschenrechte|Vereinte Nationen|Europäische Union|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt|Versicherungswesen
2014-03-12					Menschenrechte		Menschenrechte
