Datum	F	G	N	S	V
2019-10-23	Europäische Union|Öffentliche Finanzen und Haushaltspolitik|Tabak|Gesetzgebungsverfahren|Staatsangehöriger|Fernsehen|Hörfunk|Gesetzgebungsverfahren|partizipative Demokratie|Verfassung|Gesetzgebungsverfahren|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|öffentliche Sicherheit|Staatsangehöriger|Bildung|Gesetzgebungsverfahren|Organisation des Unterrichtswesens|Religion|ausländischer Staatsangehöriger|Europäische Union|Strafrecht|Handel|Industrie|Unternehmen und Wettbewerb|Vereinsleben|Versammlungsfreiheit|Europäische Union|Internationale Beziehungen|Öffentliche Finanzen und Haushaltspolitik|Gesetzgebungsverfahren|Staatsangehöriger|Verfassung|Gesundheit|soziale Sicherheit|Strafrecht|Grenze|Gerichtswesen|Gesundheit|soziale Sicherheit|Strafrecht	Energie|Öffentliche Finanzen und Haushaltspolitik|Umwelt	Gesetzgebungsverfahren|Informatik|Information und Informationsverarbeitung|Verfassung|Politische Partei|Vereinsleben|Versammlungsfreiheit|Altersversorgungssystem|soziale Sicherheit|Elektrizitätsindustrie|Gesetzgebungsverfahren|Politische Partei|Wahl|Politische Partei|Strafrecht|Gesetzgebungsverfahren|Haushaltskontrolle|Politische Partei|Öffentlicher Sektor|Politische Partei|Politische Partei|Wahl|Politische Partei|Politische Partei|Strafrecht	direkt gewählte Kammer|Exekutive|Vereinsleben|Versammlungsfreiheit|Umwelt|Handel|Industrie|Unternehmen und Wettbewerb|Vereinsleben|Versammlungsfreiheit|junger Mensch|Sozialpolitik|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Politische Partei|Altersversorgungssystem|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Einkommen|Familie|Frau|Gleichbehandlung|Verwaltung und Entlohnung des Personals	Straßenverkehr|Arbeitsrecht|soziale Sicherheit
2019-11-13	Bürgerliches Recht|soziale Sicherheit|diplomatische Beziehungen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Sozialpolitik|Betreuung von Pflegebedürftigen|Krankenpflege	Handel|Industrie|Unternehmen und Wettbewerb|Vereinsleben|Versammlungsfreiheit	Vereinte Nationen|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Flüchtling|junger Mensch|soziale Sicherheit|Gliedstaat|Verfassung|Arbeitsrecht|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Informatik|Information und Informationsverarbeitung|Bildung|Organisation des Unterrichtswesens|Politische Partei|Bürgerliches Recht|Gesetzgebungsverfahren|Personenstand|Politische Partei|Strafrecht|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Politik der Zusammenarbeit|ehrende Auszeichnung|Arbeitsrecht|Forschung und geistiges Eigentum|Frau|Gleichbehandlung|Wissenschaften|Vereinte Nationen|Luftverkehr|öffentliche Verwaltung|öffentlicher Dienst|Öffentlicher Sektor|Flüchtling|direkt gewählte Kammer|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Politische Partei|Strafrecht|Altersversorgungssystem|Opferhilfe|Strafrecht	Arbeitsrecht|Gesetzgebungsverfahren|Bürgerliches Recht|Gesetzgebungsverfahren|Wohnungspolitik|Bürgerliches Recht|soziale Sicherheit|Gesetzgebungsverfahren|Steuerwesen|Frau|Gesundheit|Gleichbehandlung|Politik der Zusammenarbeit|Forschung und geistiges Eigentum|Frau|Gleichbehandlung|Wissenschaften|Frau|Gleichbehandlung|Familienleistungsausgleich|Gesetzgebungsverfahren|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst|Steuerwesen|vorschulische Erziehung|Beschäftigung und Arbeitsbedingungen|Wirtschaft|Umwelt|Land- und Forstwirtschaft, Fischerei|öffentliches Eigentum|Raumordnung|Umwelt|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|partizipative Demokratie|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Gesundheit|Wirtschaft|Gesundheit|junger Mensch|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Exekutive|partizipative Demokratie|Verfassung|Informatik|Information und Informationsverarbeitung|Verfassung|Bildung|Opferhilfe|Organisation des Unterrichtswesens|Sport|Arbeitsrecht|Gesetzgebungsverfahren|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Informatik|Information und Informationsverarbeitung|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verfassung|Verwaltungskontrolle|Straßenverkehr|Energie|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Verkehr|Steuerwesen|Straßenverkehr|Umwelt	Finanzwesen|Öffentliche Finanzen und Haushaltspolitik|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|junger Mensch|öffentliche Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Vereinsleben|Versammlungsfreiheit|öffentliche Verwaltung|öffentlicher Dienst
2019-11-26	Europäische Union|Internationale Beziehungen|Exekutive|Gesetzgebungsverfahren|Verfassung|Wahl|Gesetzgebungsverfahren|Strafrecht|Altersversorgungssystem|Haushaltskontrolle|Öffentlicher Sektor	Glücksspiel|Öffentlicher Sektor	Gesetzgebungsverfahren|Strafrecht|Wohnungspolitik|Wohnungspolitik|Wohnungspolitik|junger Mensch|Vereinte Nationen|Verfassung|Völkerrecht|Gesetzgebungsverfahren|Haushaltskontrolle|Verfassung|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Exekutive|öffentliche Verwaltung|öffentlicher Dienst|Exekutive|Glücksspiel	Gesetzgebungsverfahren|Strafrecht|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|parlamentarische Immunität|parlamentarische Immunität|Verfassung|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Glücksspiel|Exekutive|Glücksspiel|Öffentlicher Sektor	Informatik|Information und Informationsverarbeitung|Strafrecht|Verwaltungsorganisation
2019-12-11	Internationale Beziehungen|Menschenrechte|Vereinsleben|Versammlungsfreiheit|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Tabak|Gesundheit|soziale Sicherheit|Strafrecht|Abfall|Abfallwirtschaft|Umwelt|Abfall|Abfallwirtschaft|Steuerwesen|Umwelt|Straßenverkehr|Steuerwesen|Tourismus|Sozialpolitik|Betreuung von Pflegebedürftigen|Krankenpflege|Europäische Union|Internationale Beziehungen|Gesundheit|soziale Sicherheit|Strafrecht|Schienentransport|Europäische Union	Exekutive|Haushaltsplan|Internationale Beziehungen|Menschenrechte|Vereinsleben|Versammlungsfreiheit|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Straßen- und Brückenbau|Straßenverkehr|Schienentransport	Öffentliche Finanzen und Haushaltspolitik|Opferhilfe|Altersversorgungssystem|Erwachsenenbildung|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|parlamentarischer Ausschuss|Glücksspiel|Glücksspiel|Parlamentsdebatte|Politische Partei|Gesundheit|Presse|Geschäftsordnung des Parlaments|parlamentarischer Ausschuss|Glücksspiel|Informatik|Information und Informationsverarbeitung|Flüchtling|Verwaltungsrecht|direkt gewählte Kammer|Exekutive|Verfassung|Internationale Beziehungen|Menschenrechte|Vereinsleben|Versammlungsfreiheit|Internationale Beziehungen|öffentliche Sicherheit|Elektrizitätsindustrie|Flüchtling|Verwaltungsrecht|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst	Bildung|Europäische Union|Organisation des Unterrichtswesens|Politik der Zusammenarbeit|Arbeitsrecht|Kulturpolitik|Kunst|Sozialpolitik|Arbeitsrecht|Altersversorgungssystem|Verfassung|Bildung|Organisation des Unterrichtswesens|Bürgerliches Recht|Familie|Statistik|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Arbeitsrecht|Bildung|Europäische Union|Organisation des Unterrichtswesens|Frau|Gesundheit|Gleichbehandlung|Frau|Gleichbehandlung|junger Mensch|Opferhilfe|Sozialpolitik|Internationale Beziehungen|Menschenrechte|Vereinsleben|Versammlungsfreiheit|Europäische Union|Internationale Beziehungen|Fernsehen|Hörfunk|Frau|Gleichbehandlung|Steuerwesen|Land- und Forstwirtschaft, Fischerei|Umwelt|Bildung|Organisation des Unterrichtswesens|Wahl|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Tiermedizin|Tierschutz|Energie|Informatik|Information und Informationsverarbeitung|junger Mensch|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Umwelt|Straßenverkehr|Bildung|Organisation des Unterrichtswesens|Umwelt|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Strafrecht|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Schienentransport|Flüchtling|junger Mensch|Land- und Forstwirtschaft, Fischerei|Umwelt|Glücksspiel	Exekutive|Haushaltsplan|Internationale Beziehungen|Menschenrechte|Vereinsleben|Versammlungsfreiheit|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Straßen- und Brückenbau|Straßenverkehr|Schienentransport
2020-01-10	diplomatische Beziehungen|Europäische Union|Internationale Beziehungen|Öffentliche Finanzen und Haushaltspolitik|Staatsangehöriger|Verfassung|Währungsbeziehungen|Sport|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|Agrarerzeugnisse und Lebensmittel|Umwelt|Arbeitsrecht|soziale Sicherheit|Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Sport|ausländischer Staatsangehöriger|Strafrecht|Land- und Forstwirtschaft, Fischerei|Sport|Fernsehen|Hörfunk|Kulturpolitik|Kunst|Fernsehen|Hörfunk|Menschenrechte|Religion|öffentliche Sicherheit|Staatsangehöriger|Sozialpolitik|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Bürgerliches Recht|Bürgerliches Recht|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Verteidigung|Bildung|Organisation des Unterrichtswesens|Religion|partizipative Demokratie|Sozialpolitik|Strafrecht|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Fernsehen|Hörfunk	öffentliche Verwaltung|öffentlicher Dienst	Hochschulausbildung|öffentliche Sicherheit|Statistik|Forschung und geistiges Eigentum|Wissenschaften|Behinderter|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Politische Partei|Verfassung|Wahl|Gliedstaat|Politische Partei|Verfassung|Zivildienst|Altersversorgungssystem|Kulturpolitik|Kunst|Steuerwesen	Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht|soziale Sicherheit|Internet|Strafrecht|Altersversorgungssystem|Familie|Frau|Gleichbehandlung|Steuerwesen|Altersversorgungssystem|Familie|Steuerwesen|Verkehr|Steuerwesen	öffentliche Verwaltung|öffentlicher Dienst
2020-01-16		Sozialpolitik|Gesundheit|Strafrecht			Sozialpolitik|Gesundheit|Strafrecht
2020-01-22	Bildung|Organisation des Unterrichtswesens|Handel|Industrie|Unternehmen und Wettbewerb|Strafrecht|Betreuung von Pflegebedürftigen|Krankenpflege|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Sicherheit|Religion|Strafrecht|Sozialpolitik|Gesundheit|soziale Sicherheit|Strafrecht|Gesetzgebungsverfahren|Staatsangehöriger|Trentino-Südtirol|direkt gewählte Kammer|Gesetzgebungsverfahren|Verteidigung|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens|direkt gewählte Kammer|Gesetzgebungsverfahren|Land- und Forstwirtschaft, Fischerei|Gesetzgebungsverfahren|Hochschulausbildung|Betreuung von Pflegebedürftigen|Krankenpflege|Gesundheit|soziale Sicherheit|Sekundarstufe|Gesundheit|Hochschulausbildung|Gesundheit|soziale Sicherheit|Strafrecht|Gesundheit|soziale Sicherheit|Gesundheit|soziale Sicherheit|Strafrecht|Finanzwesen|Gesundheit|soziale Sicherheit|namentliche Abstimmung|Steuerwesen	Europäische Union|partizipative Demokratie|Haushaltsplan	Altersversorgungssystem|Forschung und geistiges Eigentum|Museum|Wissenschaften|Berufsverband|Familienleistungsausgleich|junger Mensch|Arbeitslosenversicherung|Sozialpolitik|Europäische Union|partizipative Demokratie|Berufsverband|Familie|öffentliche Verwaltung|öffentlicher Dienst|Europäische Union|Zivildienst|Flüchtling|Behinderter|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Verfassung|Wahl|Handel|Haushaltskontrolle|Industrie|Unternehmen und Wettbewerb|Primarstufe|öffentliche Sicherheit|Berufsverband|Handel|Industrie|Unternehmen und Wettbewerb|Steuerwesen|Wohnungspolitik|soziale Sicherheit|Behinderter|Arbeitslosenversicherung|Sozialpolitik|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit	Verkehr|Bildung|Organisation des Unterrichtswesens|Politik der Zusammenarbeit|Behinderter|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Betreuung von Pflegebedürftigen|Krankenpflege|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Einkommen|Familie|Frau|Gleichbehandlung|Verwaltung und Entlohnung des Personals|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Kulturpolitik|Kunst|Opferhilfe|Energie|Politik der Zusammenarbeit|Europäische Union|partizipative Demokratie|Einkommen|Gesetzgebungsverfahren|Verwaltung und Entlohnung des Personals|Steuerwesen|Einkommen|Handel|Industrie|Unternehmen und Wettbewerb|Verwaltung und Entlohnung des Personals|Europäische Union|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Vereinte Nationen|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Bürgerliches Recht|Handel|Industrie|Unternehmen und Wettbewerb|Familie|Steuerwesen|Steuerwesen|Bildung|Familie|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Politik der Zusammenarbeit|Politik der Zusammenarbeit|Frau|Gleichbehandlung|öffentliche Sicherheit|Steuerwesen|Straßenverkehr|Umwelt|Steuerwesen|Handel|Industrie|öffentliche Verwaltung|öffentlicher Dienst|Umwelt|Unternehmen und Wettbewerb|Energie|Politik der Zusammenarbeit|Frau|Gleichbehandlung|öffentliche Sicherheit|Politik der Zusammenarbeit|Frau|Gleichbehandlung|Opferhilfe|Raumordnung|Verwaltungsorganisation|Elektrizitätsindustrie|Steuerwesen|soziale Sicherheit|Einkommen|Öffentlicher Sektor|Verwaltung und Entlohnung des Personals|Einkommen|Verwaltung und Entlohnung des Personals|Betreuung von Pflegebedürftigen|Krankenpflege|Bildung|Organisation des Unterrichtswesens|Bauindustrie und öffentliches Bauwesen|Baupolitik|Behinderter|Bildung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens	Europäische Union|partizipative Demokratie|Haushaltsplan
2020-02-13	Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht	Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht	Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht	Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht	Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht
2020-02-27	Forschung und geistiges Eigentum|Gesundheit|Land- und Forstwirtschaft, Fischerei|Wissenschaften|Bürgerliches Recht|Familie|Straßenverkehr|Abfall|Abfallwirtschaft|öffentliche Sicherheit|Strafrecht|Verwaltungsorganisation|Handel|Industrie|Unternehmen und Wettbewerb|Vereinsleben|Versammlungsfreiheit|Beschäftigung und Arbeitsbedingungen|Gewerbeaufsicht|öffentliche Sicherheit|Sozialpolitik|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Steuerwesen|Tourismus|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|ausländischer Staatsangehöriger|Betreuung von Pflegebedürftigen|Krankenpflege|Europäische Union|Währungsbeziehungen|Arbeitsrecht|Bibliothek|Museum|Flüchtling|Geschäftsordnung des Parlaments|Haushaltskontrolle|Behinderter|Einkommen|soziale Sicherheit|Verwaltung und Entlohnung des Personals|Steuerwesen|Gesundheit|Strafrecht|Tourismus|Gesundheit|Informatik|Information und Informationsverarbeitung|Gesundheit|partizipative Demokratie|Tabak|Exekutive|Gesundheit|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|partizipative Demokratie|Europäische Union|partizipative Demokratie|Presse|Beschäftigung und Arbeitsbedingungen|Gewerbeaufsicht|öffentliche Sicherheit	Flüchtling|Politik der Zusammenarbeit|Europäische Union|Internationale Beziehungen|Europäische Union|Menschenrechte|Presse	Kulturpolitik|Kunst|Politik der Zusammenarbeit|soziale Sicherheit|Europäische Union|Internationale Beziehungen|Menschenrechte|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Informatik|Information und Informationsverarbeitung|Strafrecht|Altersversorgungssystem|Altersversorgungssystem|Bildung|Organisation des Unterrichtswesens|Flüchtling|Verwaltungsrecht|Umwelt|Verwaltungsrecht|Luftverkehr|Verteidigung|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|soziale Sicherheit|soziale Sicherheit|Strafrecht|Verwaltungsorganisation|Öffentlicher Sektor|Verfassung|Verwaltungskontrolle|Handel|Industrie|Presse|Unternehmen und Wettbewerb|Berufsverband|Handel|Industrie|Unternehmen und Wettbewerb|Informatik|Information und Informationsverarbeitung|Straßenverkehr|Gesundheit|soziale Sicherheit|Wohnungspolitik|Gerichtswesen|Steuerwesen|Steuerwesen|ethnische Gruppe|Verfassung|Verwaltungskontrolle|Wahl|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Steuerwesen|Altersversorgungssystem|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Informatik|Information und Informationsverarbeitung|Menschenrechte|öffentliche Sicherheit|Gerichtswesen|Strafrecht|Handel|Industrie|Unternehmen und Wettbewerb|Währungsbeziehungen|Fernsehen|Hörfunk|Internet|Handel|Industrie|Unternehmen und Wettbewerb|ausländischer Staatsangehöriger|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Menschenrechte|öffentliche Sicherheit|Vereinte Nationen|Raumordnung|Umwelt|Europäische Union|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Forschung und geistiges Eigentum|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Wissenschaften|Handel|Haushaltskontrolle|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Hochschulausbildung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Umwelt|Altersversorgungssystem|Europäische Union|partizipative Demokratie|Presse|Berufsverband|Handel|Industrie|Unternehmen und Wettbewerb	Staatsangehöriger|Familie|Steuerwesen|Exekutive|Hochschulausbildung|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Umwelt|Forschung und geistiges Eigentum|Frau|Gleichbehandlung|Sozialpolitik|Wissenschaften|Gesundheit|junger Mensch|Vereinte Nationen|Bürgerliches Recht|Gesetzgebungsverfahren|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Gesundheit|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Vereinsleben|Versammlungsfreiheit|Hochschulausbildung|Straßenverkehr|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Steuerwesen|Wirtschaft|Wirtschaft|Gesundheit|soziale Sicherheit|Europäische Union|Land- und Forstwirtschaft, Fischerei|Frau|Gleichbehandlung|Opferhilfe|Gesundheit|soziale Sicherheit|Tiermedizin|Tierschutz|Verwaltungsrecht|Europäische Union|Tiermedizin|Tierschutz|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Gewerbeaufsicht|soziale Sicherheit|Ausbildungsbeihilfe|Gerichtswesen|Öffentliche Finanzen und Haushaltspolitik|Strafrecht|Energie|Umwelt|Ausbildungsbeihilfe|Straßenverkehr|Primarstufe|Gesetzgebungsverfahren|Menschenrechte|Wohnungspolitik|Internationale Beziehungen|Wirtschaft|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Europäische Union|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Exekutive|Gesundheit|Europäische Union|partizipative Demokratie|Presse|Gewerbeaufsicht|soziale Sicherheit	Flüchtling|Politik der Zusammenarbeit|Europäische Union|Internationale Beziehungen|Europäische Union|Menschenrechte|Presse
2020-03-03	Straßenverkehr	Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Straßenverkehr	Straßenverkehr		Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Straßenverkehr
