ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,22,18.11.1999,A,"Einkommensteuergesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXI/A/22,ANTR,SELBST,"[""F""]","[""Budget und Finanzen""]","[""STEUERN UND GEBÜHREN""]","[""Steuerwesen""]","[{'title': 'Initiativantrag', 'link': '/dokument/XXI/A/22/fname_599891.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag', 'link': '/dokument/XXI/A/22/fnameorig_599891.html', 'type': 'HTML'}]"
A,40,18.11.1999,A,Bundesjugendförderungsgesetz,A,Selbständiger Antrag,/gegenstand/XXI/A/40,ANTR,SELBST,"[""F""]","[""Familie und Generationen""]","[""JUGEND""]","[""junger Mensch""]","[{'title': 'Initiativantrag', 'link': '/dokument/XXI/A/40/fname_599906.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag', 'link': '/dokument/XXI/A/40/fnameorig_599906.html', 'type': 'HTML'}]"
A,44,18.11.1999,A,"Ausländerbeschäftigungsgesetz, Aufhebung",A,Selbständiger Antrag,/gegenstand/XXI/A/44,ANTR,SELBST,"[""G""]","[""Arbeit""]","[""ARBEITSMARKT"",""ERSTE LESUNGEN""]","[""Beschäftigung und Arbeitsbedingungen"",""Gesetzgebungsverfahren""]","[{'title': 'Initiativantrag', 'link': '/dokument/XXI/A/44/fname_599912.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag', 'link': '/dokument/XXI/A/44/fnameorig_599912.html', 'type': 'HTML'}]"
A,48,15.12.1999,A(E),Weiterentwicklung von Demokratie und Menschenrechten,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/48,ANTR,SELBST,"[""F""]","[""Inneres und Recht""]","[""MENSCHENRECHTE""]","[""Menschenrechte""]","[{'title': 'Entschließungsantrag', 'link': '/dokument/XXI/A/48/fname_599917.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag', 'link': '/dokument/XXI/A/48/fnameorig_599917.html', 'type': 'HTML'}]"
A,74,26.01.2000,A(E),Schutz der Wale und Delfine,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/74,ANTR,SELBST,"[""G""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Entschließungsantrag', 'link': '/dokument/XXI/A/74/fname_599934.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag', 'link': '/dokument/XXI/A/74/fnameorig_599934.html', 'type': 'HTML'}]"
A,79,26.01.2000,A(E),Ausbau von Kinderbetreuungseinrichtungen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/79,ANTR,SELBST,"[""G""]","[""Familie und Generationen""]","[""FAMILIENPOLITIK""]","[""Familie""]","[{'title': 'Entschließungsantrag', 'link': '/dokument/XXI/A/79/fname_599941.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag', 'link': '/dokument/XXI/A/79/fnameorig_599941.html', 'type': 'HTML'}]"
A,83,08.02.2000,A,Grundrecht auf Gesundheit,A,Selbständiger Antrag,/gegenstand/XXI/A/83,ANTR,SELBST,"[""G""]","[""Inneres und Recht""]","[""MENSCHENRECHTE"",""MENSCHENRECHTE"",""BUNDESVERFASSUNG"",""ERSTE LESUNGEN""]","[""Gesetzgebungsverfahren"",""Menschenrechte"",""Verfassung""]","[{'title': 'Initiativantrag', 'link': '/dokument/XXI/A/83/fname_599949.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag', 'link': '/dokument/XXI/A/83/fnameorig_599949.html', 'type': 'HTML'}]"
A,85,08.02.2000,A,Bundesministeriengesetz-Novelle 2000,A,Selbständiger Antrag,/gegenstand/XXI/A/85,ANTR,SELBST,"[""V"",""F""]","[""Inneres und Recht""]","[""BUNDESREGIERUNG III""]","[""Exekutive""]","[{'title': 'Initiativantrag', 'link': '/dokument/XXI/A/85/fname_599947.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag', 'link': '/dokument/XXI/A/85/fnameorig_599947.html', 'type': 'HTML'}]"
A,93,01.03.2000,A(E),Weiterentwicklung des Österreichischen Krankenanstalten- und Großgeräteplan,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/93,ANTR,SELBST,"[""G""]","[""Gesundheit und Ernährung""]","[""GESUNDHEIT""]","[""Gesundheit""]","[{'title': 'Entschließungsantrag', 'link': '/dokument/XXI/A/93/fname_599960.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag', 'link': '/dokument/XXI/A/93/fnameorig_599960.html', 'type': 'HTML'}]"
A,98,01.03.2000,A,"Bundes-Verfassungsgesetz, Nationalrats-Wahlordnung u.a., Änderung",A,Selbständiger Antrag,/gegenstand/XXI/A/98,ANTR,SELBST,"[""V"",""F""]","[""Inneres und Recht"",""Parlament und Demokratie""]","[""BÜRGERINITIATIVEN"",""BÜRGERINITIATIVEN"",""BUNDESVERFASSUNG"",""PETITIONEN"",""PETITIONEN"",""VERFASSUNGS- UND VERWALTUNGSGERICHTSBARKEIT"",""VERFASSUNGS- UND VERWALTUNGSGERICHTSBARKEIT"",""VOLKSANWALTSCHAFT"",""VOLKSANWALTSCHAFT""]","[""partizipative Demokratie"",""Verfassung"",""Verfassungsgerichtsbarkeit"",""Verwaltungsgerichtsbarkeit"",""Verwaltungskontrolle""]","[{'title': 'Initiativantrag', 'link': '/dokument/XXI/A/98/fname_599965.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag', 'link': '/dokument/XXI/A/98/fnameorig_599965.html', 'type': 'HTML'}]"
