Datum	F	G	S	V
1999-10-29	direkt gewählte Kammer|Gesetzgebungsverfahren|Verfassung	Forschung und geistiges Eigentum|Wissenschaften|ausländischer Staatsangehöriger|Gesetzgebungsverfahren|ethnische Gruppe|Frau|Gleichbehandlung|Gesetzgebungsverfahren|Staatsangehöriger|Wahl|Verteidigung|Zivildienst|Staatsangehöriger|Wahl|Gesetzgebungsverfahren|Strafrecht|ethnische Gruppe|Gesetzgebungsverfahren|Verfassung|Europäische Union|Internationale Beziehungen|Flüchtling|Gesetzgebungsverfahren|ausländischer Staatsangehöriger|Gesetzgebungsverfahren|Tiermedizin|Tierschutz|Steuerwesen|Gesetzgebungsverfahren|Strafrecht		
1999-11-18	Steuerwesen|junger Mensch|soziale Sicherheit|Menschenrechte|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Elektrizitäts- und Kernkraftindustrie|Europäische Union	Beschäftigung und Arbeitsbedingungen|Gesetzgebungsverfahren|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Behinderter|Gesetzgebungsverfahren|soziale Sicherheit|Gesetzgebungsverfahren|Straßenverkehr|Land- und Forstwirtschaft, Fischerei|Politik der Zusammenarbeit|Wirtschaft|Internationale Beziehungen|Land- und Forstwirtschaft, Fischerei|Wasserbewirtschaftung|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Menschenrechte|Behinderter|Land- und Forstwirtschaft, Fischerei|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Gesetzgebungsverfahren|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Geschäftsordnung des Parlaments|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Geschäftsordnung des Parlaments	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Arbeitsrecht|Gesetzgebungsverfahren|Arbeitsrecht|Menschenrechte|Geschäftsordnung des Parlaments|Verfassung|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie|Europäische Union	Menschenrechte|Arbeitslosenversicherung|Arbeitsrecht|Arbeitsrecht|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie|Europäische Union
1999-12-15	Menschenrechte|Familienleistungsausgleich|ethnische Gruppe|Europäische Union|Familienleistungsausgleich|Arbeitsrecht|soziale Sicherheit	Finanzausgleich|Steuerwesen|Raumordnung|Völkerrecht|Handel|Industrie|Unternehmen und Wettbewerb|Geschäftsordnung des Parlaments|Umwelt|Exekutive|Politik der Zusammenarbeit|Gesetzgebungsverfahren|Post- und Fernmeldewesen|Politik der Zusammenarbeit	Arbeitslosenversicherung	Arbeitslosenversicherung
2000-01-20	Internationale Beziehungen	Internationale Beziehungen	Internationale Beziehungen	Internationale Beziehungen
2000-01-26	Handel|Industrie|Unternehmen und Wettbewerb|Verteidigung	Umwelt|Familie|Ausbildungsbeihilfe|Umwelt|Ausbildungsbeihilfe|Haushaltsplan|Neutralität|Parlamentsdebatte|soziale Sicherheit|Steuerwesen|Umwelt|Land- und Forstwirtschaft, Fischerei|Neutralität|Verfassung|Tiermedizin|Tierschutz|Verfassung|Forschung und geistiges Eigentum|Wissenschaften	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Wohnungspolitik|Wohnungspolitik|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Verfassung|Tiermedizin|Tierschutz|Strafrecht|Menschenrechte|Verfassung|Arbeitsrecht	
2000-02-08	Exekutive	Gesetzgebungsverfahren|Menschenrechte|Verfassung|Steuerwesen|Gesetzgebungsverfahren|Strafrecht|Exekutive|Misstrauensantrag		Exekutive
2000-02-09			Bildung|Organisation des Unterrichtswesens|Hochschulausbildung|Hochschulausbildung|Wohnungspolitik|Handel|Industrie|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|Handel|Industrie|Unternehmen und Wettbewerb|Wohnungspolitik|Strafrecht|Wohnungspolitik|Frau|Gleichbehandlung|Frau|Gleichbehandlung|Wohnungspolitik|Tiermedizin|Tierschutz|öffentliche Sicherheit	
2000-02-24	Öffentliche Finanzen und Haushaltspolitik|Parlamentsdebatte	Öffentliche Finanzen und Haushaltspolitik|direkt gewählte Kammer|Sozialpolitik	Straßen- und Brückenbau|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|Gesetzgebungsverfahren|Wohnungspolitik|Öffentliche Finanzen und Haushaltspolitik	Öffentliche Finanzen und Haushaltspolitik|Parlamentsdebatte
2000-03-01	partizipative Demokratie|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungskontrolle	Gesundheit|Gesundheit|Gerichtswesen|Gesundheit|Agrarerzeugnisse und Lebensmittel|Exekutive|Forschung und geistiges Eigentum|Handel|Industrie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Wissenschaften|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Forschung und geistiges Eigentum|Wissenschaften|Exekutive|Sozialpolitik|Exekutive|Forschung und geistiges Eigentum|Wissenschaften|Exekutive|Frau|Gleichbehandlung|Exekutive|Umwelt|Öffentliche Finanzen und Haushaltspolitik|Politik der Zusammenarbeit|Flüchtling	Politik der Zusammenarbeit|Abfall|Abfallwirtschaft|Gesetzgebungsverfahren|öffentliche Sicherheit|namentliche Abstimmung|Beschäftigung und Arbeitsbedingungen|namentliche Abstimmung|soziale Sicherheit|Sozialpolitik|Exekutive	partizipative Demokratie|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungskontrolle
2000-03-02		Politische Partei|Frau|Gleichbehandlung|Politische Partei|Post- und Fernmeldewesen|Land- und Forstwirtschaft, Fischerei|Wasserbewirtschaftung	Menschenrechte|Europäische Union|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|Bürgerliches Recht|Land- und Forstwirtschaft, Fischerei	
2000-03-14	Europäische Union|Hochschulausbildung|Unternehmensarten	internationales Arbeitsrecht|Europäische Union|Menschenrechte|Exekutive|Umwelt|Menschenrechte|Exekutive|Forschung und geistiges Eigentum|Wissenschaften|Beschäftigung und Arbeitsbedingungen|Exekutive|Sozialpolitik|Gesetzgebungsverfahren|Wahl|Exekutive|Handel|Industrie|Unternehmen und Wettbewerb|Exekutive|Frau|Gleichbehandlung	Internationale Beziehungen	Europäische Union|Hochschulausbildung|Unternehmensarten
2000-03-21	Strafrecht|Umwelt|Forschung und geistiges Eigentum|Wissenschaften|Hochschulausbildung	Europäische Union|Geschäftsordnung des Parlaments|Wahl|Raumordnung|Strafrecht|Umwelt|Umwelt	soziale Sicherheit|ausländischer Staatsangehöriger|Forschung und geistiges Eigentum|Wissenschaften|Strafrecht|Umwelt|Umwelt|Hochschulausbildung	Strafrecht|Umwelt|Forschung und geistiges Eigentum|Wissenschaften|Hochschulausbildung
2000-03-22	Bürgerliches Recht|Preis|Wohnungspolitik|namentliche Abstimmung|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie	Geschäftsordnung des Parlaments|Haushaltskontrolle	Strafrecht|soziale Sicherheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Menschenrechte	Bürgerliches Recht|Preis|Wohnungspolitik|namentliche Abstimmung|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie
2000-04-26	Europäische Union|namentliche Abstimmung|Parlamentsdebatte|Fernsehen|Hörfunk|Fernsehen|Hörfunk	Notar|Rechtsanwalt|Wahl|Politische Partei|Politische Partei|Religion	Land- und Forstwirtschaft, Fischerei|Familie|Europäische Union|namentliche Abstimmung|namentliche Abstimmung|Internationale Beziehungen|Notar|Rechtsanwalt|Wahl	Europäische Union|namentliche Abstimmung|Parlamentsdebatte|Fernsehen|Hörfunk|Fernsehen|Hörfunk
