ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,7,20.12.2002,A(E),Abschaffung der Unfallrentenbesteuerung,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/7,ANTR,SELBST,"[""S""]","[""Budget und Finanzen""]","[""STEUERN UND GEBÜHREN""]","[""Steuerwesen""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/7/imfname_001247.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/7/fname_001290.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/7/fnameorig_001290.html', 'type': 'HTML'}]"
A,13,20.12.2002,A,"Strafgesetzbuch, Änderung",A,Selbständiger Antrag,/gegenstand/XXII/A/13,ANTR,SELBST,"[""G""]","[""Familie und Generationen"",""Inneres und Recht""]","[""JUGEND"",""JUGEND"",""STRAFRECHT""]","[""junger Mensch"",""Strafrecht""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXII/A/13/imfname_001253.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/13/fname_001295.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/13/fnameorig_001295.html', 'type': 'HTML'}]"
A,45,26.02.2003,A,"Versöhnungsfonds-Gesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXII/A/45,ANTR,SELBST,"[""F"",""G"",""S"",""V""]","[""Inneres und Recht""]","[""OPFERFÜRSORGE UND OPFERSCHUTZ""]","[""Opferhilfe""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXII/A/45/imfname_001568.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/45/fname_001615.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/45/fnameorig_001615.html', 'type': 'HTML'}]"
A,100,29.04.2003,A(E),Finanzierung der B 100 durch rasche Vorlage einer Novelle zum Zweckzuschussgesetz 2001,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/100,ANTR,SELBST,"[""S""]","[""Verkehr und Infrastruktur""]","[""STRASSEN- UND BRÜCKENBAU""]","[""Straßen- und Brückenbau""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/100/imfname_003090.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/100/fname_003107.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/100/fnameorig_003107.html', 'type': 'HTML'}]"
A,109,29.04.2003,A(E),Reform der Gemeinsamen Agrarpolitik,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/109,ANTR,SELBST,"[""G""]","[""Europäische Union"",""Land- und Forstwirtschaft""]","[""EUROPÄISCHE INTEGRATION"",""EUROPÄISCHE INTEGRATION"",""LAND- UND FORSTWIRTSCHAFT""]","[""Europäische Union"",""Land- und Forstwirtschaft, Fischerei""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/109/imfname_003162.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/109/fname_003166.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/109/fnameorig_003166.html', 'type': 'HTML'}]"
A,114,29.04.2003,A(E),Ersatz von Verteidigerkosten bei strafgerichtlichen Freisprüchen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/114,ANTR,SELBST,"[""S""]","[""Inneres und Recht""]","[""RECHTSANWÄLTE UND NOTARE"",""STRAFRECHT"",""STRAFRECHT""]","[""Notar"",""Rechtsanwalt"",""Strafrecht""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/114/imfname_003185.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/114/fname_003191.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/114/fnameorig_003191.html', 'type': 'HTML'}]"
A,148,11.06.2003,A,"Unterrichtspraktikumsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXII/A/148,ANTR,SELBST,"[""S"",""V"",""F"",""G""]","[""Bildung""]","[""BILDUNGSWESEN VIII""]","[""Bildung"",""Organisation des Unterrichtswesens""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXII/A/148/imfname_004467.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/148/fname_004468.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/148/fnameorig_004468.html', 'type': 'HTML'}]"
A,153,13.06.2003,A(E),Verbesserung der Prospektpflicht (Publizitätsvorschriften) im Investmentfondsgesetz (InvFG),A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/153,ANTR,SELBST,"[""S""]","[""Budget und Finanzen""]","[""KREDITWESEN""]","[""Finanzwesen""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/153/imfname_004645.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/153/fname_004647.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/153/fnameorig_004647.html', 'type': 'HTML'}]"
A,157,17.06.2003,A(E),"unabhängige Kontrolle der Mittelverwendung aus der ""besonderen Bundes-Sportförderung""",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/157,ANTR,SELBST,"[""G""]","[""Sport""]","[""SPORT""]","[""Sport""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/157/imfname_004703.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/157/fname_004704.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/157/fnameorig_004704.html', 'type': 'HTML'}]"
A,161,18.06.2003,A(E),Schutz der österreichischen Wasserressourcen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/161,ANTR,SELBST,"[""G""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ"",""UMWELTSCHUTZ"",""WASSERRECHT""]","[""Umwelt"",""Wasserbewirtschaftung""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/161/imfname_004799.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/161/fname_004802.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/161/fnameorig_004802.html', 'type': 'HTML'}]"
