ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,16,30.10.2006,A,Olympia 2014-Ermächtigungsgesetz,A,Selbständiger Antrag,/gegenstand/XXIII/A/16,ANTR,SELBST,"[""S""]","[""Budget und Finanzen"",""Sport""]","[""KREDITWESEN"",""KREDITWESEN"",""SPORT""]","[""Finanzwesen"",""Sport""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/16/imfname_070353.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/16/fname_070385.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/16/fnameorig_070385.html', 'type': 'HTML'}]"
A,21,17.11.2006,A,"Nationalrats-Wahlordnung, Änderung",A,Selbständiger Antrag,/gegenstand/XXIII/A/21,ANTR,SELBST,"[""G""]","[""Inneres und Recht"",""Parlament und Demokratie""]","[""POLITISCHE PARTEIEN"",""POLITISCHE PARTEIEN"",""WAHLEN""]","[""Politische Partei"",""Wahl""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/21/imfname_070643.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXIII/A/21/fname_070647.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXIII/A/21/fnameorig_070647.html', 'type': 'HTML'}]"
A,26,17.11.2006,A(E),Kosten für die Beseitigung von Kriegsrelikten,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIII/A/26,ANTR,SELBST,"[""F""]","[""Budget und Finanzen""]","[""BUNDESHAUSHALT III""]","[""Öffentliche Finanzen und Haushaltspolitik""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIII/A/26/imfname_070662.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIII/A/26/fname_070671.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIII/A/26/fnameorig_070671.html', 'type': 'HTML'}]"
A,27,17.11.2006,A,2. Sozialrechts-Änderungsgesetz 2006 - 2. SRÄG 2006,A,Selbständiger Antrag,/gegenstand/XXIII/A/27,ANTR,SELBST,"[""V"",""B""]","[""Soziales""]","[""SOZIALPOLITIK"",""SOZIALPOLITIK"",""SOZIALVERSICHERUNG I"",""SOZIALVERSICHERUNG VI"",""SOZIALVERSICHERUNG VI""]","[""soziale Sicherheit"",""Sozialpolitik""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/27/imfname_070661.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/27/fname_070688.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/27/fnameorig_070688.html', 'type': 'HTML'}]"
A,32,17.11.2006,A,"Schulorganisationsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIII/A/32,ANTR,SELBST,"[""B""]","[""Bildung""]","[""BILDUNGSWESEN VIII"",""ERSTE LESUNGEN""]","[""Bildung"",""Gesetzgebungsverfahren"",""Organisation des Unterrichtswesens""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/32/imfname_070667.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/32/fname_070699.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/32/fnameorig_070699.html', 'type': 'HTML'}]"
A,46,29.11.2006,A,"Allgemeines bürgerliches Gesetzbuch, Änderung",A,Selbständiger Antrag,/gegenstand/XXIII/A/46,ANTR,SELBST,"[""F""]","[""Inneres und Recht""]","[""ERSTE LESUNGEN"",""ZIVILRECHT""]","[""Bürgerliches Recht"",""Gesetzgebungsverfahren""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/46/imfname_070883.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/46/fname_070909.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/46/fnameorig_070909.html', 'type': 'HTML'}]"
A,58,29.11.2006,A,"Bundes-Behindertengleichstellungsgesetz, Behinderteneinstellungsgesetz u.a., Änderung",A,Selbständiger Antrag,/gegenstand/XXIII/A/58,ANTR,SELBST,"[""G""]","[""Soziales""]","[""ERSTE LESUNGEN"",""MENSCHEN MIT BEHINDERUNG""]","[""Behinderter"",""Gesetzgebungsverfahren""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/58/imfname_070931.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXIII/A/58/fname_070962.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXIII/A/58/fnameorig_070962.html', 'type': 'HTML'}]"
A,70,14.12.2006,A(E),Beschlussfassung über ein modernes Modell der Elternkarenz,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIII/A/70,ANTR,SELBST,"[""G""]","[""Familie und Generationen""]","[""FAMILIENPOLITIK""]","[""Familie""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIII/A/70/imfname_071256.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXIII/A/70/fname_071427.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXIII/A/70/fnameorig_071427.html', 'type': 'HTML'}]"
A,71,14.12.2006,A(E),verwaltungsrechtliches Umwelthaftungsgesetz,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIII/A/71,ANTR,SELBST,"[""G""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIII/A/71/imfname_071259.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXIII/A/71/fname_071439.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXIII/A/71/fnameorig_071439.html', 'type': 'HTML'}]"
A,74,14.12.2006,A(E),Evaluierung der ÖBB-Strukturreform und effiziente Neuordnung im Bereich ÖBB-Infrastruktur,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIII/A/74,ANTR,SELBST,"[""G""]","[""Verkehr und Infrastruktur""]","[""VERKEHR II""]","[""Schienentransport""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIII/A/74/imfname_071260.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXIII/A/74/fname_071430.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXIII/A/74/fnameorig_071430.html', 'type': 'HTML'}]"
