ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,5,28.10.2008,A(E),Absetzbarkeit von Spenden,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/5,ANTR,SELBST,"[""F""]","[""Budget und Finanzen""]","[""STEUERN UND GEBÜHREN""]","[""Steuerwesen""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIV/A/5/imfname_143257.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIV/A/5/fname_143284.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIV/A/5/fnameorig_143284.html', 'type': 'HTML'}]"
A,7,28.10.2008,A(E),"""Cross-Border-Leasing""",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/7,ANTR,SELBST,"[""F""]","[""Budget und Finanzen"",""Wirtschaft""]","[""KREDITWESEN"",""KREDITWESEN"",""STEUERN UND GEBÜHREN"",""ÖFFENTLICHE UNTERNEHMEN"",""ÖFFENTLICHE UNTERNEHMEN""]","[""Finanzwesen"",""Öffentlicher Sektor"",""Steuerwesen""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIV/A/7/imfname_143255.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIV/A/7/fname_143324.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIV/A/7/fnameorig_143324.html', 'type': 'HTML'}]"
A,8,28.10.2008,A(E),Verbot der Spekulation und risikoreicher Veranlagung von Steuergeldern,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/8,ANTR,SELBST,"[""F""]","[""Budget und Finanzen"",""Wirtschaft""]","[""KREDITWESEN"",""ÖFFENTLICHE UNTERNEHMEN"",""ÖFFENTLICHE UNTERNEHMEN""]","[""Finanzwesen"",""Öffentlicher Sektor""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIV/A/8/imfname_143259.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIV/A/8/fname_143378.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIV/A/8/fnameorig_143378.html', 'type': 'HTML'}]"
A,11,28.10.2008,A,"Arbeitslosenversicherungsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIV/A/11,ANTR,SELBST,"[""G""]","[""Soziales""]","[""SOZIALVERSICHERUNG V""]","[""Arbeitslosenversicherung""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIV/A/11/imfname_143260.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXIV/A/11/fname_143340.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXIV/A/11/fnameorig_143340.html', 'type': 'HTML'}]"
A,18,28.10.2008,A,"Allgemeines bürgerliches Gesetzbuch, Änderung",A,Selbständiger Antrag,/gegenstand/XXIV/A/18,ANTR,SELBST,"[""G""]","[""Inneres und Recht""]","[""ERSTE LESUNGEN"",""ZIVILRECHT""]","[""Bürgerliches Recht"",""Gesetzgebungsverfahren""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIV/A/18/imfname_143275.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXIV/A/18/fname_143609.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXIV/A/18/fnameorig_143609.html', 'type': 'HTML'}]"
A,23,28.10.2008,A(E),eine neue Agrarpolitik für Nord und Süd,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/23,ANTR,SELBST,"[""G""]","[""Außenpolitik"",""Budget und Finanzen"",""Europäische Union"",""Land- und Forstwirtschaft""]","[""EUROPÄISCHE INTEGRATION"",""EUROPÄISCHE INTEGRATION"",""LAND- UND FORSTWIRTSCHAFT"",""LAND- UND FORSTWIRTSCHAFT"",""STEUERN UND GEBÜHREN"",""STEUERN UND GEBÜHREN"",""ENTWICKLUNGSZUSAMMENARBEIT""]","[""Europäische Union"",""Land- und Forstwirtschaft, Fischerei"",""Politik der Zusammenarbeit"",""Steuerwesen""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIV/A/23/imfname_143279.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXIV/A/23/fname_143348.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXIV/A/23/fnameorig_143348.html', 'type': 'HTML'}]"
A,25,28.10.2008,A(E),österreichische Außen- und Sicherheitspolitik im UN-Sicherheitsrat,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/25,ANTR,SELBST,"[""G""]","[""Außenpolitik"",""Frauen und Gleichbehandlung"",""Klima, Umwelt und Energie""]","[""ATOMENERGIE"",""ATOMENERGIE"",""AUSSENPOLITIK"",""VEREINTE NATIONEN"",""VEREINTE NATIONEN"",""ENTWICKLUNGSZUSAMMENARBEIT"",""ENTWICKLUNGSZUSAMMENARBEIT"",""FRAUEN UND GLEICHBEHANDLUNG"",""FRAUEN UND GLEICHBEHANDLUNG""]","[""Elektrizitäts- und Kernkraftindustrie"",""Frau"",""Gleichbehandlung"",""Internationale Beziehungen"",""Politik der Zusammenarbeit"",""Vereinte Nationen""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIV/A/25/imfname_143282.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXIV/A/25/fname_143350.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXIV/A/25/fnameorig_143350.html', 'type': 'HTML'}]"
A,38,28.10.2008,A,"Ausfuhrförderungsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIV/A/38,ANTR,SELBST,"[""V"",""S""]","[""Wirtschaft""]","[""HANDEL, GEWERBE UND INDUSTRIE""]","[""Handel"",""Industrie"",""Unternehmen und Wettbewerb""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIV/A/38/imfname_143313.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXIV/A/38/fname_143328.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXIV/A/38/fnameorig_143328.html', 'type': 'HTML'}]"
A,45,25.11.2008,A(E),die Verwendung der deutschen Sprache als EU-Verfahrenssprache neben Englisch und Französisch,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/45,ANTR,SELBST,"[""F""]","[""Europäische Union""]","[""EUROPÄISCHE INTEGRATION""]","[""Europäische Union""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIV/A/45/imfname_144451.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIV/A/45/fname_144559.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIV/A/45/fnameorig_144559.html', 'type': 'HTML'}]"
A,46,25.11.2008,A(E),Verhandlungen der Bundesregierung auf europäischer Ebene zur Erreichung einer restriktiveren Einwanderungspolitik und einem Ausbau der EU-Agentur FRONTEX,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/46,ANTR,SELBST,"[""F""]","[""Außenpolitik"",""Europäische Union"",""Inneres und Recht""]","[""EUROPÄISCHE INTEGRATION"",""EUROPÄISCHE INTEGRATION"",""FLÜCHTLINGE"",""FLÜCHTLINGE"",""GRENZEN"",""AUSLÄNDER:IN"",""AUSLÄNDER:IN""]","[""ausländischer Staatsangehöriger"",""Europäische Union"",""Flüchtling"",""Grenze""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIV/A/46/imfname_144450.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIV/A/46/fname_144560.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIV/A/46/fnameorig_144560.html', 'type': 'HTML'}]"
