Datum	A	B	F	G	S	T	V
2008-10-28		Haushaltsplan|Politische Partei|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Gliedstaat|Luftverkehr|Öffentlicher Sektor|öffentliches Eigentum|Behinderter|Preis|Schienentransport|Steuerwesen|Wirtschaft|Sozialpolitik|Geschäftsordnung des Parlaments	Steuerwesen|Finanzwesen|Öffentlicher Sektor|Steuerwesen|Finanzwesen|Öffentlicher Sektor|Haushaltsplan|Politische Partei|Familie|Steuerwesen|Steuerwesen|Steuerwesen|Familie|soziale Sicherheit|Steuerwesen|Familie|Steuerwesen|Geschäftsordnung des Parlaments	Arbeitslosenversicherung|Bürgerliches Recht|Gesetzgebungsverfahren|Europäische Union|Land- und Forstwirtschaft, Fischerei|Politik der Zusammenarbeit|Steuerwesen|Elektrizitäts- und Kernkraftindustrie|Frau|Gleichbehandlung|Internationale Beziehungen|Politik der Zusammenarbeit|Vereinte Nationen|Haushaltsplan|Politische Partei|Beschäftigung und Arbeitsbedingungen|Gesetzgebungsverfahren|Kulturpolitik|Kunst|Religion|Verfassung|Bürgerliches Recht|Gesetzgebungsverfahren|Kulturpolitik|Kunst|Museum|völkerrechtliche Verantwortlichkeit|Gesetzgebungsverfahren|Schienentransport|Straßenverkehr|Verkehr|Europäische Union|Politik der Zusammenarbeit|Steuerwesen|Arbeitslosenversicherung|Gesetzgebungsverfahren|Gesetzgebungsverfahren|Gesundheit|Post- und Fernmeldewesen|direkt gewählte Kammer|Gesetzgebungsverfahren|Parlamentarier|Strafrecht|Gesetzgebungsverfahren|Strafrecht|Tiermedizin|Tierschutz|Einkommen|Gesetzgebungsverfahren|Verwaltung und Entlohnung des Personals|Bürgerliches Recht|Gesetzgebungsverfahren|Personenstand|Europäische Union|Frau|Gleichbehandlung|Politik der Zusammenarbeit|ausländischer Staatsangehöriger|Gesetzgebungsverfahren|Gesetzgebungsverfahren|Straßenverkehr|Steuerwesen|Arbeitsrecht|Politik der Zusammenarbeit|soziale Sicherheit|Arbeitslosenversicherung|soziale Sicherheit|Arbeitsrecht|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|ausländischer Staatsangehöriger|Gesetzgebungsverfahren|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|Arbeitsrecht|Gesundheit|Gesetzgebungsverfahren|Verfassung|Gesetzgebungsverfahren|öffentliche Sicherheit|Bauindustrie und öffentliches Bauwesen|Baupolitik|Informatik|Information und Informationsverarbeitung|Wirtschaft|Finanzwesen|Finanzwesen|Elektrizitäts- und Kernkraftindustrie	Handel|Industrie|Unternehmen und Wettbewerb|Haushaltsplan|Politische Partei|Finanzwesen		Handel|Industrie|Unternehmen und Wettbewerb|Haushaltsplan|Politische Partei|Finanzwesen
2008-11-25		ausländischer Staatsangehöriger|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Gliedstaat|Luftverkehr|Post- und Fernmeldewesen|Finanzwesen|Land- und Forstwirtschaft, Fischerei|Gesundheit|soziale Sicherheit|Vereinsleben|Versammlungsfreiheit|Beschäftigung und Arbeitsbedingungen|junger Mensch|Luftverkehr|Verteidigung|Gliedstaat|Luftverkehr|Post- und Fernmeldewesen|Beschäftigung und Arbeitsbedingungen|Einkommen|Finanzwesen|Verwaltung und Entlohnung des Personals|Behinderter|Preis|Schienentransport|Steuerwesen|Wirtschaft|Beschäftigung und Arbeitsbedingungen|junger Mensch	Europäische Union|ausländischer Staatsangehöriger|Europäische Union|Flüchtling|Grenze|Europäische Union|Internationale Beziehungen|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Elektrizitäts- und Kernkraftindustrie|Land- und Forstwirtschaft, Fischerei|Europäische Union|ethnische Gruppe|Trentino-Südtirol|ethnische Gruppe|Internationale Beziehungen|ethnische Gruppe|Internationale Beziehungen|völkerrechtliche Verantwortlichkeit|Europäische Union|Land- und Forstwirtschaft, Fischerei|Umwelt|Europäische Union|Beschäftigung und Arbeitsbedingungen|Europäische Union|Familienleistungsausgleich|Behinderter|Vereinte Nationen|Exekutive|Luftverkehr|Verteidigung|Agrarerzeugnisse und Lebensmittel|Elektrizitäts- und Kernkraftindustrie|Völkerrecht|Einkommen|Finanzwesen|Öffentlicher Sektor|Verwaltung und Entlohnung des Personals|Beschäftigung und Arbeitsbedingungen|Exekutive|Gliedstaat|Öffentlicher Sektor|Steuerwesen|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Finanzwesen|Wirtschaft|Luftverkehr|Öffentlicher Sektor|öffentliches Eigentum	Gesetzgebungsverfahren|Kulturpolitik|Kunst|soziale Sicherheit|Sozialpolitik|junger Mensch|Vereinte Nationen|Verfassung|Post- und Fernmeldewesen|junger Mensch|Straßenverkehr|Einkommen|Post- und Fernmeldewesen|Verwaltung und Entlohnung des Personals|Frau|Gesetzgebungsverfahren|Gleichbehandlung|Politische Partei|Arbeitsrecht|Gesundheit|Post- und Fernmeldewesen|Straßenverkehr|Bildung|Organisation des Unterrichtswesens			
2008-12-03		Verteidigung|Luftverkehr|Verteidigung|Gesetzgebungsverfahren|Politik der Zusammenarbeit|Steuerwesen|Umwelt|Finanzwesen|soziale Sicherheit|Finanzwesen|Wohnungspolitik|Finanzwesen|Gesetzgebungsverfahren|Wohnungspolitik|Politik der Zusammenarbeit|Steuerwesen|Umwelt|Vereinsleben|Versammlungsfreiheit|Elektrizitäts- und Kernkraftindustrie|Arbeitsrecht|Vereinfachung der Rechtsvorschriften|Familie|Gesundheit|Land- und Forstwirtschaft, Fischerei|Preis|Flüchtling|namentliche Abstimmung|Elektrizitäts- und Kernkraftindustrie|Völkerrecht|Energie|ethnische Gruppe|Gliedstaat|Post- und Fernmeldewesen|Schienentransport|Sport|Elektrizitäts- und Kernkraftindustrie|Familie|Beschäftigung und Arbeitsbedingungen|Einkommen|Finanzwesen|Verwaltung und Entlohnung des Personals|Verteidigung	Behinderter|Gerichtswesen|Behinderter|soziale Sicherheit|soziale Sicherheit|soziale Sicherheit|Religion|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Primarstufe|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|Haushaltskontrolle|Strafrecht|Gesundheit|Statistik|Strafrecht|Bürgerliches Recht|Gerichtswesen|Bürgerliches Recht|junger Mensch|Behinderter|Beschäftigung und Arbeitsbedingungen|Gesetzgebungsverfahren|soziale Sicherheit|Arbeitslosenversicherung|Gesundheit|Behinderter|Verkehr|Strafrecht|junger Mensch|Strafrecht|soziale Sicherheit|Behinderter|soziale Sicherheit|Sozialpolitik|Arbeitsrecht|Sozialpolitik|Wohnungspolitik|Bürgerliches Recht|Einkommen|Familie|Verwaltung und Entlohnung des Personals|Religion|Strafrecht|Beschäftigung und Arbeitsbedingungen|Flüchtling|soziale Sicherheit|Sozialpolitik|Bauindustrie und öffentliches Bauwesen|Baupolitik|soziale Sicherheit|Verfassung|soziale Sicherheit|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Gesundheit|soziale Sicherheit|Bauindustrie und öffentliches Bauwesen|Baupolitik|Behinderter|Behinderter|Berufsverband|Behinderter|Bildung|Organisation des Unterrichtswesens|soziale Sicherheit|Familie|Strafrecht|Strafrecht|Verteidigung|Verteidigung|Bauindustrie und öffentliches Bauwesen|Baupolitik|Behinderter|Bildung|Gesundheit|Organisation des Unterrichtswesens|Behinderter|Beschäftigung und Arbeitsbedingungen|Behinderter|Personalvertretung|Arbeitslosenversicherung|Flüchtling|Familienleistungsausgleich|junger Mensch|Einkommen|Finanzwesen|Gesetzgebungsverfahren|Verwaltung und Entlohnung des Personals|Menschenrechte|Strafrecht|Bauindustrie und öffentliches Bauwesen|Baupolitik|Verteidigung|soziale Sicherheit|Sozialpolitik|Bauindustrie und öffentliches Bauwesen|Baupolitik|Behinderter|Behinderter|Erwachsenenbildung|Behinderter|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Bauindustrie und öffentliches Bauwesen|Baupolitik|Wohnungspolitik|Familie|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Einkommen|Fernsehen|Hörfunk|Presse|Verwaltung und Entlohnung des Personals|Elektrizitäts- und Kernkraftindustrie|Familie|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Einkommen|Finanzwesen|Öffentlicher Sektor|Verwaltung und Entlohnung des Personals|Beschäftigung und Arbeitsbedingungen|Familie|Familienleistungsausgleich|Steuerwesen|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Finanzwesen|Wirtschaft|soziale Sicherheit|Verfassung|Haushaltskontrolle|Bildung|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Primarstufe|Sekundarstufe|Europäische Union	öffentliche Sicherheit|Straßenverkehr|Versicherungswesen|Abfall|Abfallwirtschaft|Handel|Industrie|Unternehmen und Wettbewerb|Finanzwesen|Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Gesundheit|Gesetzgebungsverfahren|Land- und Forstwirtschaft, Fischerei|Agrarerzeugnisse und Lebensmittel|Gesundheit|Gesetzgebungsverfahren|Verfassung|Europäische Union|Tiermedizin|Tierschutz|Handel|Industrie|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei|Agrarerzeugnisse und Lebensmittel|Tiermedizin|Tierschutz|Arbeitsrecht|Gesundheit|Finanzwesen|Schienentransport|Gesetzgebungsverfahren|Staatsangehöriger|ausländischer Staatsangehöriger|Gesetzgebungsverfahren|Verfassung|Wahl	soziale Sicherheit|Exekutive|Gesundheit|Informatik|Information und Informationsverarbeitung|Europäische Union|Gesundheit		soziale Sicherheit|Exekutive|Gesundheit|Informatik|Information und Informationsverarbeitung|Europäische Union|Gesundheit
2008-12-09					Europäische Union		Europäische Union
2008-12-10		Familie|Bildung|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Familie|Familie|Steuerwesen|soziale Sicherheit|Sozialpolitik|Familienleistungsausgleich|junger Mensch|Familie|Familienleistungsausgleich|junger Mensch|soziale Sicherheit|Steuerwesen|Europäische Union|Finanzwesen|Politik der Zusammenarbeit|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Finanzwesen	Europäische Union|partizipative Demokratie|Abfall|Abfallwirtschaft|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Handel|Industrie|Steuerwesen|Umwelt|Unternehmen und Wettbewerb|Abfall|Abfallwirtschaft|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Post- und Fernmeldewesen|Agrarerzeugnisse und Lebensmittel|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Sport|öffentliche Sicherheit|Religion|Familienleistungsausgleich|Behinderter|Bürgerliches Recht|Einkommen|Finanzwesen|Öffentlicher Sektor|Verwaltung und Entlohnung des Personals|direkt gewählte Kammer|Europäische Union|Verfassung|Schienentransport|Sozialpolitik|Gesundheit|Gesundheit|junger Mensch|Energie|Steuerwesen|Elektrizitätsindustrie|Steuerwesen|Europäische Union|Energie|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Familie|soziale Sicherheit|ethnische Gruppe|Statistik|Volkszählung|Informatik|Information und Informationsverarbeitung|Politische Partei|Frau|Gesundheit|Gleichbehandlung|Strafrecht|Gesundheit|soziale Sicherheit|Gesundheit|Informatik|Information und Informationsverarbeitung|junger Mensch|Strafrecht|Gesundheit|junger Mensch|soziale Sicherheit|Behinderter|Wahl|öffentliche Sicherheit|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit|Flüchtling|öffentliche Sicherheit|Strafrecht|Finanzwesen|Öffentlicher Sektor|Gerichtswesen|junger Mensch|Strafrecht|Bürgerliches Recht|Umwelt|Gesundheit|Gesundheit|junger Mensch|Strafrecht|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|Gesundheit|soziale Sicherheit|Sozialpolitik|Gesundheit|Behinderter|Steuerwesen|Steuerwesen|Wohnungspolitik|Umwelt|Abfall|Abfallwirtschaft|Umwelt|Energie|Land- und Forstwirtschaft, Fischerei|direkt gewählte Kammer|öffentliche Sicherheit|Öffentliche Finanzen und Haushaltspolitik|öffentliche Sicherheit|Flüchtling|Strafrecht|soziale Sicherheit|Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|ausländischer Staatsangehöriger|Flüchtling|öffentliche Sicherheit|Familie|Frau|Gleichbehandlung|Elektrizitäts- und Kernkraftindustrie|Gesundheit|Gesundheit|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|soziale Sicherheit|Elektrizitätsindustrie|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Steuerwesen|Abfall|Abfallwirtschaft|ausländischer Staatsangehöriger|Finanzwesen|Familie|Bürgerliches Recht|Familie|junger Mensch|Familie|Familienleistungsausgleich|soziale Sicherheit|Steuerwesen|Statistik|Strafrecht|Straßenverkehr|Verkehr|Gesundheit|soziale Sicherheit|Sozialpolitik|soziale Sicherheit|Gesundheit|Religion|Gesundheit|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Energie|Öffentliche Finanzen und Haushaltspolitik|Wohnungspolitik|Elektrizitätsindustrie|Energie|Arbeitsrecht|Behinderter|Bildung|Gesundheit|Organisation des Unterrichtswesens|Sozialpolitik|Elektrizitätsindustrie|Behinderter|Kulturpolitik|Kunst|Museum|Ausweis|Personenstand|öffentliche Sicherheit|Politische Partei|Vereinsleben|Versammlungsfreiheit|Behinderter|Familienleistungsausgleich|Familie|Familienleistungsausgleich|ausländischer Staatsangehöriger|Strafrecht|Exekutive|Informatik|Information und Informationsverarbeitung|Verwaltungsorganisation|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|Handel|Industrie|Post- und Fernmeldewesen|Umwelt|Unternehmen und Wettbewerb|soziale Sicherheit|Tourismus|Elektrizitätsindustrie|Abfall|Abfallwirtschaft|Energie|Elektrizitätsindustrie|Post- und Fernmeldewesen|Flüchtling|Strafrecht|Religion|Tiermedizin|Tierschutz|Gesundheit|junger Mensch|Behinderter|Steuerwesen|Energie|Steuerwesen|Wohnungspolitik|Behinderter|Steuerwesen|Elektrizitätsindustrie|Agrarerzeugnisse und Lebensmittel|Abfall|Abfallwirtschaft|Umwelt|Arbeitsrecht|Familie|ethnische Gruppe|Internationale Beziehungen|ethnische Gruppe|ethnische Gruppe|Menschenrechte|Völkerrecht|ausländischer Staatsangehöriger|öffentliche Sicherheit|Gerichtswesen|junger Mensch|Strafrecht|Elektrizitätsindustrie|Behinderter|Gesundheit|soziale Sicherheit|Strafrecht|soziale Sicherheit|Fernsehen|Handel|Hörfunk|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Luftverkehr|Unternehmen und Wettbewerb|Zolltarifpolitik|Bürgerliches Recht|Wirtschaft|Opferhilfe|Sozialpolitik|Handel|Industrie|Tabak|Unternehmen und Wettbewerb|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesetzgebungsverfahren|Gliedstaat|Haushaltskontrolle|Öffentlicher Sektor|Verfassung|Finanzwesen|Steuerwesen|Wirtschaft|Europäische Union|Behinderter|Versicherungswesen|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|soziale Sicherheit|Europäische Union|Finanzwesen|Politik der Zusammenarbeit|Steuerwesen|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|Finanzwesen	Straßenverkehr|Tiermedizin|Tierschutz|Verfassung|Gesetzgebungsverfahren|Umwelt|Verfassung|Straßenverkehr|Energie|Gesetzgebungsverfahren|Bildung|Familienleistungsausgleich|Organisation des Unterrichtswesens|Straßenverkehr|Straßenverkehr|Verwaltungsrecht|Finanzwesen|Wohnungspolitik|Europäische Union|Finanzwesen|Politik der Zusammenarbeit|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Finanzwesen|Finanzwesen|Internationale Beziehungen|Politik der Zusammenarbeit|Finanzwesen	Bürgerliches Recht|Zivildienst|Ausweis|junger Mensch|Informatik|Information und Informationsverarbeitung|Straßenverkehr|Haushaltsplan|Politik der Zusammenarbeit|Europäische Union|Finanzwesen|Politik der Zusammenarbeit|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Finanzwesen		Bürgerliches Recht|Zivildienst|Ausweis|junger Mensch|Informatik|Information und Informationsverarbeitung|Straßenverkehr|Haushaltsplan|Politik der Zusammenarbeit|Europäische Union|Finanzwesen|Politik der Zusammenarbeit|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Finanzwesen
2009-01-14		Zivildienst	Zivildienst	Zivildienst	Zivildienst		Zivildienst
2009-01-21		Straßenverkehr|Energie|Elektrizitätsindustrie|Energie|Preis|Elektrizitätsindustrie|Energie|Preis|Arbeitsrecht|öffentliche Sicherheit|Post- und Fernmeldewesen|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Sozialpolitik|Steuerwesen|Zivilschutz|Straßenverkehr|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Behinderter|Versicherungswesen|Europäische Union|Ausweis|junger Mensch|Steuerwesen|ausländischer Staatsangehöriger|Flüchtling|Energie|Öffentliche Finanzen und Haushaltspolitik|Energie|Europäische Union|Europäische Union|Europäische Union|Internationale Beziehungen	Straßenverkehr|junger Mensch|Straßenverkehr|Handel|Industrie|Straßenverkehr|Unternehmen und Wettbewerb|Straßen- und Brückenbau|Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|öffentliche Sicherheit|Strafrecht|Gesundheit|soziale Sicherheit|Straßenverkehr|Tourismus|Forschung und geistiges Eigentum|Straßenverkehr|Umwelt|Wissenschaften|Raumordnung|Straßenverkehr|öffentliche Sicherheit|Strafrecht|Beschäftigung und Arbeitsbedingungen|Familie|Steuerwesen|Wirtschaft|Behinderter|Fernsehen|Hörfunk|Gliedstaat|Raumordnung|Straßen- und Brückenbau|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Gesundheit|junger Mensch|soziale Sicherheit|Arbeitslosenversicherung|Bürgerliches Recht|Finanzwesen|Strafrecht|Bauindustrie und öffentliches Bauwesen|Baupolitik|Luftverkehr|Fernsehen|Hörfunk|Post- und Fernmeldewesen|Preis|Luftverkehr|Steuerwesen|Kulturpolitik|Kunst|Strafrecht|Arbeitsrecht|Familie|Gesundheit|Sozialpolitik|Behinderter|Straßenverkehr|Post- und Fernmeldewesen|Straßen- und Brückenbau|öffentliche Verwaltung|öffentlicher Dienst|Elektrizitätsindustrie|Straßenverkehr|soziale Sicherheit|Post- und Fernmeldewesen|Sozialpolitik|Verwaltungsrecht|Straßenverkehr|Energie|Sozialpolitik|Schienentransport|Tiermedizin|Tierschutz|Verfassung|Behinderter|Post- und Fernmeldewesen|Handel|Industrie|Unternehmen und Wettbewerb|Straßenverkehr|Behinderter|Fernsehen|Hörfunk|Straßenverkehr|Straßen- und Brückenbau|Elektrizitäts- und Kernkraftindustrie|Schienentransport|Verkehr|ethnische Gruppe|Trentino-Südtirol|Verfassung|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Gliedstaat|Wohnungspolitik|Ausweis|junger Mensch|Steuerwesen|Energie|Steuerwesen|ausländischer Staatsangehöriger|Europäische Union|Grenze|Europäische Union|Europäische Union|Geschäftsordnung des Parlaments|Europäische Union|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Völkerrecht|Europäische Union	Agrarerzeugnisse und Lebensmittel|Schienentransport|Verkehr|Grenze|Straßenverkehr|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Tourismus|Menschenrechte|Familie|Bürgerliches Recht|Staatsangehöriger|Bildung|Organisation des Unterrichtswesens|Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|öffentliche Verwaltung|öffentlicher Dienst|Energie|Flüchtling|Primarstufe|Agrarerzeugnisse und Lebensmittel|Gesundheit|Handel|Industrie|Sport|Unternehmen und Wettbewerb|Schienentransport|Tourismus|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Steuerwesen|Tourismus|Handel|Industrie|Unternehmen und Wettbewerb|Energie|Agrarerzeugnisse und Lebensmittel|Elektrizitäts- und Kernkraftindustrie|Gesetzgebungsverfahren|Strafrecht|internationales Abkommen|Menschenrechte|soziale Sicherheit|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Verkehr|Elektrizitäts- und Kernkraftindustrie|Energie|Europäische Union|Internationale Beziehungen|Energie	Familie|Europäische Union|Staatschef|Wahl|soziale Sicherheit|Ausweis|junger Mensch|Steuerwesen|Europäische Union|Europäische Union|Internationale Beziehungen|Elektrizitäts- und Kernkraftindustrie|Energie|Europäische Union|Wasser|Wasserbewirtschaftung		Familie|Europäische Union|Staatschef|Wahl|soziale Sicherheit|Ausweis|junger Mensch|Steuerwesen|Europäische Union|Europäische Union|Internationale Beziehungen|Elektrizitäts- und Kernkraftindustrie|Energie|Europäische Union|Wasser|Wasserbewirtschaftung
2009-01-22		Handel|Industrie|Tabak|Unternehmen und Wettbewerb|Energie|Steuerwesen|Verkehr|Wirtschaft|Wohnungspolitik|Gesundheit|Sport|Presse|direkt gewählte Kammer|Verfassung|Finanzwesen|Sport|Exekutive|Haushaltskontrolle|Finanzwesen|Geschäftsordnung des Parlaments|partizipative Demokratie|Fernsehen|Hörfunk|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Sozialpolitik|Steuerwesen|Zivilschutz|Finanzwesen	Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Arbeitsrecht|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Verwaltungsorganisation|Elektrizitätsindustrie|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|öffentliche Verwaltung|öffentlicher Dienst|Exekutive|Forschung und geistiges Eigentum|Verwaltungsorganisation|Wissenschaften|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Fernsehen|Gesetzgebungsverfahren|Hörfunk|Kulturpolitik|Kunst|Luftverkehr|Sport|Versicherungswesen|Finanzwesen|öffentliches Eigentum|Bildung|Organisation des Unterrichtswesens|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Sport|Steuerwesen|Informatik|Information und Informationsverarbeitung|Verwaltungsorganisation|Energie|Umwelt|Energie|Steuerwesen|Finanzwesen|Arbeitsrecht|Gesetzgebungsverfahren|Forschung und geistiges Eigentum|Luftverkehr|Wirtschaft|Wissenschaften|Bildung|Gesundheit|Organisation des Unterrichtswesens|Umwelt|Verwaltungsrecht|Wasserbau|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Kulturpolitik|Kunst|Steuerwesen|Bildung|Gesetzgebungsverfahren|Organisation des Unterrichtswesens|Exekutive|Sport|Verteidigung|Verwaltungsorganisation|Exekutive|Familie|Frau|Gleichbehandlung|junger Mensch|Verwaltungsorganisation|Fernsehen|Hörfunk|Exekutive|Forschung und geistiges Eigentum|Verwaltungsorganisation|Wissenschaften	Fernsehen|Hörfunk	öffentliche Verwaltung|öffentlicher Dienst|Sport|Europäische Union|Informatik|Information und Informationsverarbeitung|junger Mensch|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Europäische Union|Wahl|Fernsehen|Hörfunk		öffentliche Verwaltung|öffentlicher Dienst|Sport|Europäische Union|Informatik|Information und Informationsverarbeitung|junger Mensch|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Europäische Union|Wahl|Fernsehen|Hörfunk
2009-02-12					Sozialpolitik		Sozialpolitik
2009-02-17		Fernsehen|Finanzwesen|Hörfunk|Parlamentsdebatte|Steuerwesen|Wirtschaft|Behinderter|Fernsehen|Hörfunk|Steuerwesen|ethnische Gruppe|Internationale Beziehungen|Menschenrechte|direkt gewählte Kammer|parlamentarische Immunität|Verfassung|Haushaltskontrolle|Verfassung|Finanzausgleich|Kulturpolitik|Kunst|Haushaltskontrolle|Verfassung|Wohnungspolitik|Haushaltskontrolle|Verfassung|Gliedstaat|Haushaltskontrolle|Verwaltungsorganisation|Verfassung|Verwaltungskontrolle|Wahl|Beschäftigung und Arbeitsbedingungen|Bürgerliches Recht|Einkommen|Luftverkehr|Öffentlicher Sektor|Verwaltung und Entlohnung des Personals|ausländischer Staatsangehöriger|Flüchtling|Öffentliche Finanzen und Haushaltspolitik|Gliedstaat|Luftverkehr	Familie|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Europäische Union|Bürgerliches Recht|Familie|soziale Sicherheit|Behinderter|Personalvertretung|Sozialpolitik|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Wahl|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Wahl|Fernsehen|Hörfunk|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Bürgerliches Recht|Luftverkehr|Einkommen|Finanzwesen|Verwaltung und Entlohnung des Personals|Bürgerliches Recht|Luftverkehr|Öffentlicher Sektor|Agrarerzeugnisse und Lebensmittel|Familie|Steuerwesen|Wirtschaft|Einkommen|Finanzwesen|Haushaltskontrolle|Steuerwesen|Verwaltung und Entlohnung des Personals|Einkommen|Finanzwesen|Öffentlicher Sektor|Verwaltung und Entlohnung des Personals|Sozialpolitik	Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Flüchtling|Energie|Einkommen|Finanzwesen|Verwaltung und Entlohnung des Personals|Wirtschaft|Bauindustrie und öffentliches Bauwesen|Baupolitik|Beschäftigung und Arbeitsbedingungen|Finanzausgleich|Steuerwesen|Verkehr	Beschäftigung und Arbeitsbedingungen|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|Wissenschaften		Beschäftigung und Arbeitsbedingungen|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|Wissenschaften
