ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,3,29.10.2013,A(E),neue Strukturen für Österreich: Kampf gegen die Schulden - Haushalten mit Augenmaß,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXV/A/3,ANTR,SELBST,"[""T""]","[""Budget und Finanzen"",""Inneres und Recht""]","[""BUNDESHAUSHALT III"",""BUNDESVERFASSUNG"",""STEUERN UND GEBÜHREN""]","[""Öffentliche Finanzen und Haushaltspolitik"",""Steuerwesen"",""Verfassung""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXV/A/3/imfname_329763.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/3/fname_329796.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/3/fnameorig_329796.html', 'type': 'HTML'}]"
A,11,29.10.2013,A(E),Sicherung des Wissens- und Wirtschaftsstandorts durch Forschung und Innovation,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXV/A/11,ANTR,SELBST,"[""G""]","[""Budget und Finanzen"",""Innovation, Technologie und Forschung""]","[""BUNDESHAUSHALT III"",""WISSENSCHAFT UND FORSCHUNG""]","[""Forschung und geistiges Eigentum"",""Öffentliche Finanzen und Haushaltspolitik"",""Wissenschaften""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXV/A/11/imfname_329806.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/11/fname_329830.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/11/fnameorig_329830.html', 'type': 'HTML'}]"
A,14,29.10.2013,A,Bundesgesetz zur Förderung des Mehrweganteils von Getränkeverpackungen,A,Selbständiger Antrag,/gegenstand/XXV/A/14,ANTR,SELBST,"[""G""]","[""Klima, Umwelt und Energie""]","[""GESCHÄFTSORDNUNG DES NATIONALRATES"",""ABFALLWIRTSCHAFT"",""GO-NR ERSTE LESUNGEN, ANTRÄGE/VERLANGEN""]","[""Abfall"",""Abfallwirtschaft""]","[{'title': 'Initiativantrag (gescanntes Original)', 'link': '/dokument/XXV/A/14/imfname_329808.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/14/fname_329839.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/14/fnameorig_329839.html', 'type': 'HTML'}]"
A,18,29.10.2013,A,"Bundes-Verfassungsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXV/A/18,ANTR,SELBST,"[""G""]","[""Inneres und Recht""]","[""BUNDESVERFASSUNG"",""ERSTE LESUNGEN""]","[""Gesetzgebungsverfahren"",""Verfassung""]","[{'title': 'Initiativantrag (gescanntes Original)', 'link': '/dokument/XXV/A/18/imfname_329811.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/18/fname_329851.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/18/fnameorig_329851.html', 'type': 'HTML'}]"
A,40,20.11.2013,A,"Begrenzung von Bezügen öffentlicher Funktionäre, Bundesbezügegesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXV/A/40,ANTR,SELBST,"[""S"",""V""]","[""Arbeit"",""Inneres und Recht"",""Parlament und Demokratie"",""Wirtschaft""]","[""BUNDESVERFASSUNG"",""LÖHNE UND GEHÄLTER"",""NATIONALRAT V""]","[""direkt gewählte Kammer"",""Einkommen"",""Verfassung"",""Verwaltung und Entlohnung des Personals""]","[{'title': 'Initiativantrag (gescanntes Original)', 'link': '/dokument/XXV/A/40/imfname_331635.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/40/fname_331734.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/40/fnameorig_331734.html', 'type': 'HTML'}]"
A,51,20.11.2013,A,"AMA-Gesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXV/A/51,ANTR,SELBST,"[""G""]","[""Land- und Forstwirtschaft""]","[""LAND- UND FORSTWIRTSCHAFT""]","[""Land- und Forstwirtschaft, Fischerei""]","[{'title': 'Initiativantrag (gescanntes Original)', 'link': '/dokument/XXV/A/51/imfname_331736.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/51/fname_331791.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/51/fnameorig_331791.html', 'type': 'HTML'}]"
A,54,20.11.2013,A(E),Wohnbauförderungsmittel aus dem Konjunkturpaket,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXV/A/54,ANTR,SELBST,"[""G""]","[""Soziales""]","[""WOHNUNGSWESEN""]","[""Wohnungspolitik""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXV/A/54/imfname_331744.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/54/fname_331798.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/54/fnameorig_331798.html', 'type': 'HTML'}]"
A,55,20.11.2013,A(E),angemessene budgetäre Ausstattung des Rechnungshofs,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXV/A/55,ANTR,SELBST,"[""G""]","[""Budget und Finanzen"",""Parlament und Demokratie""]","[""BUNDESHAUSHALT III"",""RECHNUNGSHOF""]","[""Haushaltskontrolle"",""Öffentliche Finanzen und Haushaltspolitik""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXV/A/55/imfname_331743.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/55/fname_331799.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/55/fnameorig_331799.html', 'type': 'HTML'}]"
A,60,20.11.2013,A(E),Erhöhung der Nationalparkförderung,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXV/A/60,ANTR,SELBST,"[""F""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXV/A/60/imfname_331751.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/60/fname_331892.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/60/fnameorig_331892.html', 'type': 'HTML'}]"
A,69,03.12.2013,A(E),mehr Einkommen durch Senkung der Lohnsteuer zur Stärkung der Kaufkraft,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXV/A/69,ANTR,SELBST,"[""F""]","[""Budget und Finanzen""]","[""STEUERN UND GEBÜHREN""]","[""Steuerwesen""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXV/A/69/imfname_333084.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/69/fname_333112.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXV/A/69/fnameorig_333112.html', 'type': 'HTML'}]"
