ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,2,09.11.2017,A,"Einkommensteuergesetz 1988, Änderung",A,Selbständiger Antrag,/gegenstand/XXVI/A/2,ANTR,SELBST,"[""N""]","[""Budget und Finanzen""]","[""STEUERN UND GEBÜHREN""]","[""Steuerwesen""]","[{'title': 'Selbständiger Antrag (gescanntes Original)', 'link': '/dokument/XXVI/A/2/imfname_673872.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/2/fname_674037.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/2/fnameorig_674037.html', 'type': 'HTML'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/2/fname_689897.pdf', 'type': 'PDF'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/2/fnameorig_689897.html', 'type': 'HTML'}, {'title': 'Textvergleich (Arbeitsdokument der ParlDion', 'link': '/dokument/XXVI/A/2/fname_695661.pdf', 'type': 'PDF'}, {'title': 'Textvergleich (Arbeitsdokument der ParlDion', 'link': '/dokument/XXVI/A/2/fnameorig_695661.html', 'type': 'HTML'}]"
A,14,09.11.2017,A,"Bundesministeriengesetz, Änderung (Bundesministeriengesetz-Novelle 2017)",A,Selbständiger Antrag,/gegenstand/XXVI/A/14,ANTR,SELBST,"[""F"",""V""]","[""Inneres und Recht""]","[""BUNDESREGIERUNG III"",""VERWALTUNGSORGANISATION""]","[""Exekutive"",""Verwaltungsorganisation""]","[{'title': 'Selbständiger Antrag (gescanntes Original)', 'link': '/dokument/XXVI/A/14/imfname_673938.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/14/fname_674151.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/14/fnameorig_674151.html', 'type': 'HTML'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/14/fname_690184.pdf', 'type': 'PDF'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/14/fnameorig_690184.html', 'type': 'HTML'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/14/fname_695408.pdf', 'type': 'PDF'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/14/fnameorig_695408.html', 'type': 'HTML'}]"
A,29,13.12.2017,A,"Universitätsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXVI/A/29,ANTR,SELBST,"[""S""]","[""Bildung""]","[""BILDUNGSWESEN IV""]","[""Hochschulausbildung""]","[{'title': 'Selbständiger Antrag (gescanntes Original)', 'link': '/dokument/XXVI/A/29/imfname_676044.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (textinterpretierte Version)', 'link': '/dokument/XXVI/A/29/fname_676180.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (textinterpretierte Version)', 'link': '/dokument/XXVI/A/29/fnameorig_676180.html', 'type': 'HTML'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/29/fname_689907.pdf', 'type': 'PDF'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/29/fnameorig_689907.html', 'type': 'HTML'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/29/fname_694911.pdf', 'type': 'PDF'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/29/fnameorig_694911.html', 'type': 'HTML'}]"
A,48,20.12.2017,A(E),Aufnahme von Häftlingen in die gesetzliche Krankenversicherung,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVI/A/48,ANTR,SELBST,"[""N""]","[""Inneres und Recht"",""Soziales""]","[""STRAFRECHT"",""SOZIALVERSICHERUNG I""]","[""soziale Sicherheit"",""Strafrecht""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVI/A/48/imfname_676619.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/48/fname_677428.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/48/fnameorig_677428.html', 'type': 'HTML'}]"
A,67,31.01.2018,A(E),"Ende der Mehrfachversicherungen in der Krankenversicherung – ""Ein Versicherter, eine Krankenkasse""",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVI/A/67,ANTR,SELBST,"[""N""]","[""Soziales""]","[""SOZIALVERSICHERUNG VI""]","[""soziale Sicherheit""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVI/A/67/imfname_679385.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/67/fname_679792.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/67/fnameorig_679792.html', 'type': 'HTML'}]"
A,74,31.01.2018,A(E),statistische Erhebungen zum Unterhaltsvorschuss,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVI/A/74,ANTR,SELBST,"[""N""]","[""Familie und Generationen"",""Inneres und Recht"",""Innovation, Technologie und Forschung""]","[""FAMILIENPOLITIK"",""STATISTIK"",""ZIVILRECHT""]","[""Bürgerliches Recht"",""Familie"",""Statistik""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVI/A/74/imfname_679429.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/74/fname_679791.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/74/fnameorig_679791.html', 'type': 'HTML'}]"
A,76,31.01.2018,A(E),Etablierung einer effektiven Schuldenbremse,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVI/A/76,ANTR,SELBST,"[""N""]","[""Budget und Finanzen""]","[""BUNDESHAUSHALT III""]","[""Öffentliche Finanzen und Haushaltspolitik""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVI/A/76/imfname_679443.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/76/fname_679787.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVI/A/76/fnameorig_679787.html', 'type': 'HTML'}]"
A,80,31.01.2018,A,"Gerichtsgebührengesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXVI/A/80,ANTR,SELBST,"[""PJ""]","[""Budget und Finanzen""]","[""ERSTE LESUNGEN"",""STEUERN UND GEBÜHREN""]","[""Gesetzgebungsverfahren"",""Steuerwesen""]","[{'title': 'Selbständiger Antrag (gescanntes Original)', 'link': '/dokument/XXVI/A/80/imfname_679369.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (textinterpretierte Version)', 'link': '/dokument/XXVI/A/80/fname_679619.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (textinterpretierte Version)', 'link': '/dokument/XXVI/A/80/fnameorig_679619.html', 'type': 'HTML'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/80/fname_691134.pdf', 'type': 'PDF'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/80/fnameorig_691134.html', 'type': 'HTML'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/80/fname_695848.pdf', 'type': 'PDF'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVI/A/80/fnameorig_695848.html', 'type': 'HTML'}]"
A,91,31.01.2018,A(E),Verkürzung der Stellungnahmefrist in § 5 Rechnungshofgesetz,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVI/A/91,ANTR,SELBST,"[""PJ""]","[""Budget und Finanzen"",""Parlament und Demokratie""]","[""RECHNUNGSHOF""]","[""Haushaltskontrolle""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVI/A/91/imfname_679469.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (textinterpretierte Version)', 'link': '/dokument/XXVI/A/91/fname_679578.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (textinterpretierte Version)', 'link': '/dokument/XXVI/A/91/fnameorig_679578.html', 'type': 'HTML'}]"
A,94,31.01.2018,A(E),Ausarbeitung einer Regierungsvorlage zur Anordnung von Warnhinweisen vor dem Abschluss von Verträgen über Finanzprodukte,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVI/A/94,ANTR,SELBST,"[""PJ""]","[""Budget und Finanzen""]","[""KREDITWESEN""]","[""Finanzwesen""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVI/A/94/imfname_679480.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (textinterpretierte Version)', 'link': '/dokument/XXVI/A/94/fname_679585.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (textinterpretierte Version)', 'link': '/dokument/XXVI/A/94/fnameorig_679585.html', 'type': 'HTML'}]"
