ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,4,23.10.2019,A(E),Stärkung des zivilgesellschaftlichen Dialogs,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVII/A/4,ANTR,SELBST,"[""S""]","[""Inneres und Recht"",""Parlament und Demokratie"",""Soziales""]","[""BUNDESREGIERUNG III"",""VEREINS- UND VERSAMMLUNGSRECHT"",""NATIONALRAT V""]","[""direkt gewählte Kammer"",""Exekutive"",""Vereinsleben"",""Versammlungsfreiheit""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVII/A/4/imfname_769966.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (textinterpretierte Version)', 'link': '/dokument/XXVII/A/4/fname_770569.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (textinterpretierte Version)', 'link': '/dokument/XXVII/A/4/fnameorig_770569.html', 'type': 'HTML'}]"
A,12,23.10.2019,A(E),"keine budgetäre Mehrbelastung Österreichs infolge des ""Brexits""",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVII/A/12,ANTR,SELBST,"[""F""]","[""Budget und Finanzen"",""Europäische Union""]","[""BUNDESHAUSHALT III"",""EUROPÄISCHE INTEGRATION""]","[""Europäische Union"",""Öffentliche Finanzen und Haushaltspolitik""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVII/A/12/imfname_769988.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/12/fname_770326.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/12/fnameorig_770326.html', 'type': 'HTML'}]"
A,13,23.10.2019,A(E),Erhaltung des österreichischen Tabakmonopols und fairer Nichtraucherschutz für unsere heimische Gastronomie,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVII/A/13,ANTR,SELBST,"[""F""]","[""Gesundheit und Ernährung""]","[""TABAK""]","[""Tabak""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVII/A/13/imfname_769991.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/13/fname_770325.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/13/fnameorig_770325.html', 'type': 'HTML'}]"
A,17,23.10.2019,A,"Staatsbürgerschaftsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXVII/A/17,ANTR,SELBST,"[""F""]","[""Inneres und Recht""]","[""ERSTE LESUNGEN"",""STAATSBÜRGER:IN""]","[""Gesetzgebungsverfahren"",""Staatsangehöriger""]","[{'title': 'Selbständiger Antrag (gescanntes Original)', 'link': '/dokument/XXVII/A/17/imfname_770006.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/17/fname_770279.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/17/fnameorig_770279.html', 'type': 'HTML'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/17/fname_770395.pdf', 'type': 'PDF'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/17/fnameorig_770395.html', 'type': 'HTML'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/17/fname_770727.pdf', 'type': 'PDF'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/17/fnameorig_770727.html', 'type': 'HTML'}]"
A,22,23.10.2019,A(E),ORF ohne Zwangsgebühren,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVII/A/22,ANTR,SELBST,"[""F""]","[""Information und Medien""]","[""RUNDFUNK UND FERNSEHEN""]","[""Fernsehen"",""Hörfunk""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVII/A/22/imfname_770026.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/22/fname_770321.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/22/fnameorig_770321.html', 'type': 'HTML'}]"
A,41,13.11.2019,A,"Urlaubsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXVII/A/41,ANTR,SELBST,"[""S""]","[""Arbeit""]","[""ARBEITSRECHT I"",""ERSTE LESUNGEN""]","[""Arbeitsrecht"",""Gesetzgebungsverfahren""]","[{'title': 'Selbständiger Antrag (gescanntes Original)', 'link': '/dokument/XXVII/A/41/imfname_771570.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/41/fname_771789.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/41/fnameorig_771789.html', 'type': 'HTML'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/41/fname_777198.pdf', 'type': 'PDF'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/41/fnameorig_777198.html', 'type': 'HTML'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/41/fname_777489.pdf', 'type': 'PDF'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/41/fnameorig_777489.html', 'type': 'HTML'}]"
A,51,13.11.2019,A,"Maklergesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXVII/A/51,ANTR,SELBST,"[""S""]","[""Inneres und Recht"",""Soziales""]","[""ERSTE LESUNGEN"",""WOHNUNGSWESEN"",""ZIVILRECHT""]","[""Bürgerliches Recht"",""Gesetzgebungsverfahren"",""Wohnungspolitik""]","[{'title': 'Selbständiger Antrag (gescanntes Original)', 'link': '/dokument/XXVII/A/51/imfname_771602.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/51/fname_771909.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/51/fnameorig_771909.html', 'type': 'HTML'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/51/fname_778427.pdf', 'type': 'PDF'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/51/fnameorig_778427.html', 'type': 'HTML'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/51/fname_779424.pdf', 'type': 'PDF'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/51/fnameorig_779424.html', 'type': 'HTML'}]"
A,62,13.11.2019,A,"Allgemeines Sozialversicherungsgesetz, Gewerbliches Sozialversicherungsgesetz u.a., Änderung",A,Selbständiger Antrag,/gegenstand/XXVII/A/62,ANTR,SELBST,"[""F"",""S""]","[""Inneres und Recht"",""Soziales""]","[""ZIVILRECHT"",""SOZIALVERSICHERUNG I"",""SOZIALVERSICHERUNG II"",""SOZIALVERSICHERUNG III""]","[""Bürgerliches Recht"",""soziale Sicherheit""]","[{'title': 'Selbständiger Antrag (gescanntes Original)', 'link': '/dokument/XXVII/A/62/imfname_771695.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/62/fname_771768.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/62/fnameorig_771768.html', 'type': 'HTML'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/62/fname_772213.pdf', 'type': 'PDF'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/62/fnameorig_772213.html', 'type': 'HTML'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/62/fname_772835.pdf', 'type': 'PDF'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/62/fnameorig_772835.html', 'type': 'HTML'}]"
A,70,13.11.2019,A(E),"Entwicklung und gesetzliche Verankerung eines realistischen Stufenplans zur Erhöhung der EZA-Mittel bis zur Erreichung des 0,7%-Ziels",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXVII/A/70,ANTR,SELBST,"[""N""]","[""Außenpolitik""]","[""VEREINTE NATIONEN""]","[""Vereinte Nationen""]","[{'title': 'Selbständiger Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXVII/A/70/imfname_771707.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/70/fname_772161.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/70/fnameorig_772161.html', 'type': 'HTML'}]"
A,73,13.11.2019,A,"Asylgesetz, Niederlassungs- und Aufenthaltsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXVII/A/73,ANTR,SELBST,"[""N""]","[""Arbeit"",""Außenpolitik"",""Familie und Generationen"",""Inneres und Recht""]","[""ARBEITSMARKT"",""FLÜCHTLINGE"",""GESCHÄFTSORDNUNG DES NATIONALRATES"",""JUGEND"",""GO-NR ERSTE LESUNGEN, ANTRÄGE/VERLANGEN"",""AUSLÄNDER:IN""]","[""ausländischer Staatsangehöriger"",""Beschäftigung und Arbeitsbedingungen"",""Flüchtling"",""junger Mensch""]","[{'title': 'Selbständiger Antrag (gescanntes Original)', 'link': '/dokument/XXVII/A/73/imfname_771730.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/73/fname_771936.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (elektr. übermittelte Version)', 'link': '/dokument/XXVII/A/73/fnameorig_771936.html', 'type': 'HTML'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/73/fname_777205.pdf', 'type': 'PDF'}, {'title': 'Gesetzestext (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/73/fnameorig_777205.html', 'type': 'HTML'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/73/fname_777501.pdf', 'type': 'PDF'}, {'title': 'Textgegenüberstellung (Arbeitsdokument ParlDion)', 'link': '/dokument/XXVII/A/73/fnameorig_777501.html', 'type': 'HTML'}]"
